,,,,,,,,,,,,,,,,Churn,Churn,Churn,Churn,Churn,Churn
,,,,,,,,,,,,,,,,min,mean,median,max,sum,count
InternetService,Partner,gender,DeviceProtection,PhoneService,PaymentMethod,SeniorCitizen,MultipleLines,StreamingTV,Dependents,OnlineSecurity,OnlineBackup,StreamingMovies,TechSupport,Contract,PaperlessBilling,,,,,,
DSL,No,Female,No,No,Bank transfer (automatic),No,No phone service,No,No,No,No,No,No,Month-to-month,No,0,0.0,0.0,0,0,2
DSL,No,Female,No,No,Bank transfer (automatic),No,No phone service,No,No,No,Yes,No,No,Month-to-month,No,1,1.0,1.0,1,1,1
DSL,No,Female,No,No,Bank transfer (automatic),No,No phone service,No,No,No,Yes,No,Yes,Month-to-month,Yes,0,0.0,0.0,0,0,1
DSL,No,Female,No,No,Bank transfer (automatic),No,No phone service,No,No,Yes,No,No,No,Month-to-month,No,0,0.0,0.0,0,0,1
DSL,No,Female,No,No,Bank transfer (automatic),No,No phone service,No,No,Yes,No,No,No,Month-to-month,Yes,0,0.0,0.0,0,0,1
DSL,No,Female,No,No,Bank transfer (automatic),No,No phone service,No,No,Yes,No,No,No,Two year,No,0,0.0,0.0,0,0,1
DSL,No,Female,No,No,Bank transfer (automatic),No,No phone service,No,No,Yes,No,Yes,Yes,One year,No,0,0.0,0.0,0,0,1
DSL,No,Female,No,No,Bank transfer (automatic),No,No phone service,No,No,Yes,Yes,No,Yes,One year,No,0,0.0,0.0,0,0,1
DSL,No,Female,No,No,Bank transfer (automatic),No,No phone service,No,No,Yes,Yes,No,Yes,One year,Yes,0,0.0,0.0,0,0,1
DSL,No,Female,No,No,Bank transfer (automatic),No,No phone service,No,No,Yes,Yes,Yes,Yes,Two year,Yes,0,0.0,0.0,0,0,1
DSL,No,Female,No,No,Bank transfer (automatic),No,No phone service,No,Yes,Yes,No,No,Yes,Two year,No,0,0.0,0.0,0,0,1
DSL,No,Female,No,No,Bank transfer (automatic),No,No phone service,Yes,No,Yes,No,Yes,Yes,One year,Yes,0,0.0,0.0,0,0,1
DSL,No,Female,No,No,Credit card (automatic),No,No phone service,No,No,No,No,No,No,Month-to-month,No,0,0.0,0.0,0,0,1
DSL,No,Female,No,No,Credit card (automatic),No,No phone service,No,No,No,No,No,No,Month-to-month,Yes,1,1.0,1.0,1,1,1
DSL,No,Female,No,No,Credit card (automatic),No,No phone service,No,No,No,No,No,Yes,Month-to-month,No,1,1.0,1.0,1,1,1
