customerID,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn,tenure_bins,monthly_charges_bins
2616-UUTFK,Male,No,Yes,No,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),0,"(28.8, 36.0]","(68.5, 78.55]"
9776-OJUZI,Female,Yes,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),0,"(64.8, 72.0]","(88.6, 98.65]"
8100-HZZLJ,Female,No,No,Yes,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,0,"(36.0, 43.2]","(58.45, 68.5]"
9163-GHAYE,Female,No,No,No,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,0,"(14.4, 21.6]","(48.4, 58.45]"
4609-KNNWG,Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0,"(21.6, 28.8]","(18.148999999999997, 28.3]"
0329-GTIAJ,Female,No,No,No,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1,"(-0.073, 7.2]","(88.6, 98.65]"
2056-EVGZL,Male,No,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),0,"(64.8, 72.0]","(98.65, 108.7]"
0839-QNXME,Female,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0,"(28.8, 36.0]","(18.148999999999997, 28.3]"
1576-PFZIW,Male,Yes,Yes,No,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),0,"(64.8, 72.0]","(98.65, 108.7]"
5384-ZTTWP,Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,"(14.4, 21.6]","(18.148999999999997, 28.3]"
6603-YRDCJ,Male,No,Yes,No,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,0,"(28.8, 36.0]","(58.45, 68.5]"
6922-NCEDI,Male,No,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,0,"(50.4, 57.6]","(18.148999999999997, 28.3]"
5832-TRLPB,Male,No,No,No,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),0,"(28.8, 36.0]","(68.5, 78.55]"
8739-QOTTN,Female,No,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,"(-0.073, 7.2]","(18.148999999999997, 28.3]"
0048-LUMLS,Male,No,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),0,"(36.0, 43.2]","(88.6, 98.65]"
4584-LBNMK,Male,Yes,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),0,"(43.2, 50.4]","(18.148999999999997, 28.3]"
4237-RLAQD,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,1,"(-0.073, 7.2]","(38.35, 48.4]"
6968-URWQU,Male,No,Yes,No,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,0,"(36.0, 43.2]","(48.4, 58.45]"
7079-QRCBC,Female,No,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,"(21.6, 28.8]","(98.65, 108.7]"
8161-QYMTT,Male,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0,"(-0.073, 7.2]","(88.6, 98.65]"
3106-ULWFW,Female,No,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),1,"(7.2, 14.4]","(78.55, 88.6]"
6857-TKDJV,Male,No,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0,"(64.8, 72.0]","(18.148999999999997, 28.3]"
4389-UEFCZ,Female,No,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,0,"(64.8, 72.0]","(98.65, 108.7]"
