gender,Partner,Contract,DeviceProtection,OnlineBackup,StreamingMovies,InternetService,TechSupport,tenure_bins,StreamingTV,PaymentMethod,PaperlessBilling,monthly_charges_bins,OnlineSecurity,PhoneService,MultipleLines,SeniorCitizen,Dependents,customerID,Churn
Male,No,One year,No,Yes,Yes,Fiber optic,No,"(36.0, 43.2]",Yes,Electronic check,Yes,"(98.65, 108.7]",Yes,Yes,Yes,No,No,1037-TJGUP,0
Female,Yes,Two year,No internet service,No internet service,No internet service,No,No internet service,"(64.8, 72.0]",No internet service,Credit card (automatic),No,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,No,Yes,6176-KKAFR,0
Male,No,One year,No internet service,No internet service,No internet service,No,No internet service,"(14.4, 21.6]",No internet service,Mailed check,No,"(18.148999999999997, 28.3]",No internet service,Yes,No,No,No,8004-JBNKL,0
Female,Yes,Month-to-month,No,No,Yes,Fiber optic,No,"(7.2, 14.4]",No,Electronic check,Yes,"(78.55, 88.6]",No,Yes,Yes,No,No,3537-KWQNK,0
Female,Yes,Month-to-month,No,Yes,No,DSL,Yes,"(21.6, 28.8]",Yes,Credit card (automatic),Yes,"(68.5, 78.55]",No,Yes,Yes,No,Yes,6296-WWRWP,0
Female,No,Month-to-month,No,No,No,DSL,No,"(-0.073, 7.2]",No,Electronic check,No,"(38.35, 48.4]",No,Yes,No,No,No,1039-KNAXD,0
Male,No,Two year,Yes,Yes,Yes,DSL,Yes,"(57.6, 64.8]",Yes,Bank transfer (automatic),Yes,"(78.55, 88.6]",Yes,Yes,No,No,No,5928-FFBQD,0
Female,Yes,Two year,Yes,Yes,Yes,DSL,Yes,"(50.4, 57.6]",Yes,Credit card (automatic),No,"(88.6, 98.65]",Yes,Yes,Yes,No,Yes,4936-XBXLU,0
Male,No,Month-to-month,No,No,No,Fiber optic,No,"(-0.073, 7.2]",Yes,Electronic check,Yes,"(78.55, 88.6]",No,Yes,No,No,No,9107-VKRNG,0
Male,No,Month-to-month,No internet service,No internet service,No internet service,No,No internet service,"(21.6, 28.8]",No internet service,Electronic check,Yes,"(18.148999999999997, 28.3]",No internet service,Yes,No,No,No,7674-PKXLG,0
Female,No,Month-to-month,No,No,Yes,Fiber optic,Yes,"(-0.073, 7.2]",Yes,Mailed check,Yes,"(98.65, 108.7]",No,Yes,Yes,No,No,3033-QZLUM,0
Male,No,Month-to-month,No,No,No,DSL,No,"(-0.073, 7.2]",No,Electronic check,No,"(38.35, 48.4]",No,Yes,No,No,No,5133-DIDSK,0
Female,No,Month-to-month,No,No,No,DSL,No,"(-0.073, 7.2]",Yes,Electronic check,Yes,"(48.4, 58.45]",No,Yes,No,No,No,1293-HOKNZ,0
Female,Yes,Month-to-month,No,No,No,DSL,No,"(50.4, 57.6]",No,Bank transfer (automatic),No,"(48.4, 58.45]",No,Yes,Yes,Yes,No,6795-QAOEY,0
Female,Yes,Two year,No internet service,No internet service,No internet service,No,No internet service,"(64.8, 72.0]",No internet service,Credit card (automatic),No,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,No,No,1975-STIOO,0
Male,No,Month-to-month,No,No,No,DSL,Yes,"(-0.073, 7.2]",No,Mailed check,No,"(48.4, 58.45]",No,Yes,No,No,No,9894-ASNAI,0
Male,No,One year,No internet service,No internet service,No internet service,No,No internet service,"(36.0, 43.2]",No internet service,Bank transfer (automatic),No,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,No,Yes,5352-IHNMD,0
Male,Yes,Month-to-month,No,No,No,Fiber optic,No,"(7.2, 14.4]",Yes,Electronic check,Yes,"(78.55, 88.6]",No,Yes,Yes,No,No,7997-QXMOF,0
Female,Yes,One year,Yes,No,Yes,Fiber optic,No,"(64.8, 72.0]",Yes,Electronic check,Yes,"(98.65, 108.7]",No,Yes,Yes,No,No,9248-SLHMI,0
Male,Yes,Month-to-month,No,No,Yes,Fiber optic,No,"(-0.073, 7.2]",Yes,Electronic check,Yes,"(88.6, 98.65]",No,Yes,Yes,Yes,No,7365-SERBB,0
Male,Yes,Month-to-month,No,No,Yes,Fiber optic,No,"(-0.073, 7.2]",Yes,Bank transfer (automatic),Yes,"(88.6, 98.65]",No,Yes,Yes,Yes,No,2178-GPOZF,0
Male,Yes,One year,Yes,Yes,No,Fiber optic,Yes,"(57.6, 64.8]",Yes,Mailed check,Yes,"(88.6, 98.65]",No,Yes,Yes,Yes,No,1885-YLSQA,0
Male,No,Month-to-month,No,No,Yes,DSL,No,"(-0.073, 7.2]",No,Electronic check,Yes,"(48.4, 58.45]",No,Yes,No,No,No,2254-QAGBV,0
Male,Yes,Two year,Yes,No,Yes,DSL,Yes,"(57.6, 64.8]",Yes,Mailed check,Yes,"(58.45, 68.5]",Yes,No,No phone service,No,No,9674-WOAUV,0
Male,No,Month-to-month,No,No,No,DSL,Yes,"(-0.073, 7.2]",No,Credit card (automatic),Yes,"(48.4, 58.45]",No,Yes,No,No,No,5619-JHANK,0
Male,Yes,Month-to-month,No,Yes,Yes,Fiber optic,Yes,"(21.6, 28.8]",Yes,Electronic check,Yes,"(98.65, 108.7]",Yes,Yes,No,No,No,4477-LREKT,0
Male,No,Month-to-month,No,No,No,DSL,No,"(21.6, 28.8]",No,Electronic check,Yes,"(48.4, 58.45]",Yes,Yes,No,No,No,6234-BTPXN,0
Female,No,Month-to-month,No,No,No,DSL,No,"(-0.073, 7.2]",No,Bank transfer (automatic),Yes,"(48.4, 58.45]",No,Yes,Yes,No,No,0147-BKTQW,0
Female,No,One year,No,No,No,DSL,Yes,"(7.2, 14.4]",No,Mailed check,No,"(48.4, 58.45]",Yes,Yes,No,No,No,9620-LZQTB,0
