TechSupport,Dependents,StreamingMovies,PaymentMethod,OnlineBackup,OnlineSecurity,monthly_charges_bins,PhoneService,InternetService,MultipleLines,gender,Partner,SeniorCitizen,StreamingTV,PaperlessBilling,tenure_bins,Contract,DeviceProtection,customerID,Churn
Yes,No,Yes,Credit card (automatic),Yes,Yes,"(108.7, 118.75]",Yes,Fiber optic,Yes,Female,Yes,No,Yes,No,"(64.8, 72.0]",Two year,Yes,de535548-82c9-11ec-954a-acde48001122,0
No,Yes,No,Electronic check,No,No,"(18.148999999999997, 28.3]",No,DSL,No phone service,Female,No,No,No,No,"(7.2, 14.4]",Month-to-month,No,e7907afa-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,Yes,No,No internet service,Yes,"(21.6, 28.8]",One year,No internet service,dc4c506a-82c9-11ec-954a-acde48001122,0
No,No,No,Bank transfer (automatic),No,No,"(18.148999999999997, 28.3]",No,DSL,No phone service,Male,No,No,No,Yes,"(14.4, 21.6]",Month-to-month,No,e4e88bee-82c9-11ec-954a-acde48001122,0
No,No,Yes,Credit card (automatic),Yes,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Male,No,No,Yes,No,"(64.8, 72.0]",Two year,Yes,e363718a-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Electronic check,No,No,"(78.55, 88.6]",Yes,Fiber optic,No,Male,Yes,No,No,No,"(-0.073, 7.2]",Month-to-month,No,e89176de-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,Yes,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Female,Yes,No,Yes,No,"(7.2, 14.4]",Month-to-month,Yes,e2df11f6-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(68.5, 78.55]",Yes,Fiber optic,No,Female,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d7cb76e2-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,No,No,No internet service,Yes,"(7.2, 14.4]",One year,No internet service,d90e5e52-82c9-11ec-954a-acde48001122,0
Yes,Yes,Yes,Bank transfer (automatic),Yes,No,"(108.7, 118.75]",Yes,Fiber optic,Yes,Female,Yes,No,Yes,Yes,"(36.0, 43.2]",One year,Yes,dbad837c-82c9-11ec-954a-acde48001122,0
No,No,Yes,Mailed check,No,No,"(78.55, 88.6]",Yes,Fiber optic,No,Male,No,No,No,No,"(-0.073, 7.2]",Month-to-month,No,ea315c98-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Electronic check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,Yes,Male,No,No,No internet service,No,"(36.0, 43.2]",One year,No internet service,dc3c645c-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,Yes,No,"(78.55, 88.6]",Yes,Fiber optic,No,Male,Yes,Yes,No,Yes,"(-0.073, 7.2]",Month-to-month,No,eabe88a2-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,No,No internet service,No,"(14.4, 21.6]",Two year,No internet service,da4cedba-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,No,No,No internet service,Yes,"(-0.073, 7.2]",Month-to-month,No internet service,d7c8d0d6-82c9-11ec-954a-acde48001122,0
Yes,No,No,Mailed check,No,Yes,"(48.4, 58.45]",Yes,DSL,No,Female,No,No,No,No,"(7.2, 14.4]",One year,No,d9734efc-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,Yes,No,No internet service,No,"(21.6, 28.8]",Two year,No internet service,dc536198-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,Yes,Yes,"(88.6, 98.65]",Yes,Fiber optic,No,Male,Yes,Yes,No,Yes,"(21.6, 28.8]",Month-to-month,No,eaf32792-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(68.5, 78.55]",Yes,Fiber optic,Yes,Female,No,No,No,No,"(-0.073, 7.2]",Month-to-month,No,d7f73d36-82c9-11ec-954a-acde48001122,0
Yes,No,No,Electronic check,No,Yes,"(38.35, 48.4]",No,DSL,No phone service,Female,Yes,No,Yes,No,"(36.0, 43.2]",Two year,No,db42e274-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,Yes,Male,Yes,No,No internet service,No,"(50.4, 57.6]",Two year,No internet service,d84e9b26-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Bank transfer (automatic),No,No,"(58.45, 68.5]",Yes,DSL,No,Male,No,Yes,No,No,"(50.4, 57.6]",One year,Yes,dfe063ba-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Credit card (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,Yes,Male,Yes,No,No internet service,No,"(64.8, 72.0]",Two year,No internet service,d7ec54ca-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,No,No internet service,No,"(7.2, 14.4]",Month-to-month,No internet service,d98a58cc-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Credit card (automatic),No,Yes,"(68.5, 78.55]",Yes,DSL,Yes,Male,Yes,Yes,No,No,"(43.2, 50.4]",Two year,Yes,e0ed9160-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,Yes,"(48.4, 58.45]",Yes,DSL,Yes,Male,No,No,No,Yes,"(21.6, 28.8]",Month-to-month,No,e5b6b92e-82c9-11ec-954a-acde48001122,0
Yes,Yes,Yes,Credit card (automatic),No,Yes,"(58.45, 68.5]",No,DSL,No phone service,Female,Yes,No,Yes,Yes,"(36.0, 43.2]",One year,Yes,dab539a6-82c9-11ec-954a-acde48001122,0
No,No,Yes,Credit card (automatic),No,No,"(38.35, 48.4]",No,DSL,No phone service,Female,No,No,Yes,No,"(-0.073, 7.2]",Month-to-month,No,e31dd346-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,Yes,"(68.5, 78.55]",Yes,Fiber optic,No,Male,No,No,No,Yes,"(36.0, 43.2]",Month-to-month,No,e5960daa-82c9-11ec-954a-acde48001122,0
No,Yes,No,Credit card (automatic),Yes,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Male,Yes,No,Yes,No,"(64.8, 72.0]",One year,Yes,e77e23f0-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,Yes,No,No internet service,No,"(7.2, 14.4]",One year,No internet service,dd93ba4e-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,No,No,No internet service,No,"(-0.073, 7.2]",Month-to-month,No internet service,d7e2278e-82c9-11ec-954a-acde48001122,0
No,No,No,Mailed check,No,No,"(38.35, 48.4]",Yes,DSL,No,Male,No,No,No,No,"(-0.073, 7.2]",Month-to-month,No,d7cef074-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,No,"(28.3, 38.35]",No,DSL,No phone service,Male,Yes,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,e96b2708-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(18.148999999999997, 28.3]",No,DSL,No phone service,Female,No,No,No,Yes,"(7.2, 14.4]",Month-to-month,No,e6695912-82c9-11ec-954a-acde48001122,0
No,No,No,Credit card (automatic),No,No,"(78.55, 88.6]",Yes,Fiber optic,Yes,Female,No,Yes,No,Yes,"(14.4, 21.6]",Month-to-month,Yes,e473f630-82c9-11ec-954a-acde48001122,0
No,No,No,Mailed check,No,No,"(38.35, 48.4]",Yes,DSL,No,Male,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d7d0b77e-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,No,No,No internet service,No,"(-0.073, 7.2]",Month-to-month,No internet service,d7c6fd7e-82c9-11ec-954a-acde48001122,0
No,No,No,Mailed check,No,No,"(38.35, 48.4]",Yes,DSL,No,Female,Yes,No,No,No,"(14.4, 21.6]",Month-to-month,No,e1f33948-82c9-11ec-954a-acde48001122,0
No,No,No,Mailed check,Yes,Yes,"(48.4, 58.45]",Yes,DSL,No,Female,Yes,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,e21cd23a-82c9-11ec-954a-acde48001122,0
Yes,Yes,Yes,Mailed check,No,No,"(78.55, 88.6]",Yes,DSL,Yes,Male,Yes,No,Yes,Yes,"(50.4, 57.6]",One year,Yes,dcbc1d50-82c9-11ec-954a-acde48001122,0
No,No,No,Mailed check,No,No,"(68.5, 78.55]",Yes,Fiber optic,Yes,Female,No,Yes,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d8ebb92e-82c9-11ec-954a-acde48001122,0
Yes,Yes,Yes,Bank transfer (automatic),No,Yes,"(98.65, 108.7]",Yes,Fiber optic,Yes,Male,Yes,No,Yes,No,"(64.8, 72.0]",Two year,No,e061784c-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Bank transfer (automatic),Yes,No,"(108.7, 118.75]",Yes,Fiber optic,Yes,Female,Yes,No,Yes,Yes,"(50.4, 57.6]",One year,Yes,d895d888-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(68.5, 78.55]",Yes,Fiber optic,No,Female,No,No,No,No,"(-0.073, 7.2]",Month-to-month,No,d7e06ab6-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,Yes,Yes,"(108.7, 118.75]",Yes,Fiber optic,Yes,Male,Yes,Yes,Yes,Yes,"(57.6, 64.8]",One year,Yes,ea1d10f8-82c9-11ec-954a-acde48001122,0
