Partner,Dependents,gender,OnlineSecurity,monthly_charges_bins,OnlineBackup,MultipleLines,PhoneService,PaymentMethod,InternetService,tenure_bins,StreamingMovies,TechSupport,StreamingTV,Contract,DeviceProtection,PaperlessBilling,SeniorCitizen,customerID,Churn
No,No,Male,No,"(78.55, 88.6]",Yes,Yes,Yes,Electronic check,Fiber optic,"(14.4, 21.6]",No,No internet service,Yes,Month-to-month,No,Yes,Yes,0702-TICTG,1
Yes,No,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,Credit card (automatic),No,"(64.8, 72.0]",No internet service,No internet service,No internet service,Two year,No internet service,Yes,No,2106-DIPOZ,0
Yes,No,Male,Yes,"(78.55, 88.6]",No,Yes,Yes,Bank transfer (automatic),DSL,"(36.0, 43.2]",Yes,No,Yes,One year,Yes,Yes,No,1160-QWWLU,0
No,No,Male,No,"(28.3, 38.35]",No,No phone service,No,Electronic check,DSL,"(36.0, 43.2]",No,No,No,Two year,Yes,Yes,No,9750-LECLY,1
No,Yes,Male,Yes,"(78.55, 88.6]",No,Yes,Yes,Credit card (automatic),DSL,"(43.2, 50.4]",Yes,No,Yes,One year,Yes,Yes,No,2117-DXSSL,0
Yes,Yes,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(36.0, 43.2]",No internet service,No internet service,No internet service,Month-to-month,No internet service,No,No,8276-NMOJB,0
Yes,No,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Bank transfer (automatic),No,"(43.2, 50.4]",No internet service,No internet service,No internet service,One year,No internet service,Yes,No,3618-VPQEJ,0
Yes,Yes,Male,No internet service,"(98.65, 108.7]",No,Yes,Yes,Credit card (automatic),Fiber optic,"(36.0, 43.2]",Yes,No,Yes,Month-to-month,Yes,Yes,No,3762-KIFKD,0
Yes,No,Male,No,"(88.6, 98.65]",No,Yes,Yes,Credit card (automatic),Fiber optic,"(28.8, 36.0]",Yes,No,Yes,Two year,No,Yes,No,3431-UBQAZ,1
Yes,Yes,Male,No,"(88.6, 98.65]",Yes,Yes,Yes,Mailed check,Fiber optic,"(21.6, 28.8]",Yes,No,No,Month-to-month,Yes,Yes,Yes,8431-KMUWV,1
No,Yes,Male,No,"(68.5, 78.55]",No,No,Yes,Electronic check,Fiber optic,"(-0.073, 7.2]",No,No,No,Month-to-month,No,No,No,8876-YWFKY,1
Yes,Yes,Male,No,"(68.5, 78.55]",No,No,Yes,Bank transfer (automatic),Fiber optic,"(50.4, 57.6]",No,No,No,Two year,No,No,Yes,3958-VCJKO,0
No,Yes,Female,Yes,"(48.4, 58.45]",No,No,Yes,Credit card (automatic),DSL,"(50.4, 57.6]",No,No,No,Month-to-month,No,Yes,No,4186-DOKDA,0
No,No,Male,No,"(58.45, 68.5]",Yes,No,Yes,Electronic check,DSL,"(7.2, 14.4]",No,Yes,Yes,Month-to-month,No,Yes,No,0948-IHGRU,0
Yes,Yes,Male,Yes,"(58.45, 68.5]",Yes,No phone service,No,Credit card (automatic),DSL,"(-0.073, 7.2]",Yes,Yes,Yes,Two year,Yes,Yes,No,9493-UFONV,0
No,No,Female,No,"(78.55, 88.6]",No,Yes,Yes,Bank transfer (automatic),DSL,"(50.4, 57.6]",Yes,Yes,Yes,Two year,Yes,Yes,No,1643-EVQDZ,0
No,Yes,Male,No,"(98.65, 108.7]",No,Yes,Yes,Credit card (automatic),Fiber optic,"(14.4, 21.6]",Yes,No,Yes,Month-to-month,Yes,Yes,No,0328-EMJLP,1
No,No,Male,No,"(68.5, 78.55]",No,No,Yes,Electronic check,Fiber optic,"(57.6, 64.8]",No,No,No,Month-to-month,No,Yes,No,1509-LYKXO,0
No,No,Female,No,"(38.35, 48.4]",No,No phone service,No,Electronic check,DSL,"(50.4, 57.6]",Yes,No,Yes,Two year,No,Yes,No,6433-STXPQ,1
No,Yes,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,Mailed check,No,"(57.6, 64.8]",No internet service,No internet service,No internet service,Two year,No internet service,Yes,No,9049-QXBUS,0
No,No,Female,No,"(98.65, 108.7]",Yes,Yes,Yes,Electronic check,Fiber optic,"(50.4, 57.6]",Yes,No,Yes,Two year,Yes,No,Yes,8441-IHYIJ,0
No,Yes,Male,Yes,"(88.6, 98.65]",Yes,Yes,Yes,Mailed check,DSL,"(50.4, 57.6]",Yes,Yes,Yes,Two year,Yes,Yes,No,7188-TWBCY,0
No,No,Female,Yes,"(48.4, 58.45]",Yes,No,Yes,Electronic check,DSL,"(-0.073, 7.2]",No,No,No,One year,No,Yes,No,6687-NHJTU,1
Yes,Yes,Male,Yes,"(48.4, 58.45]",Yes,No,Yes,Mailed check,DSL,"(28.8, 36.0]",No,No,No,One year,No,No,No,0914-UATCN,0
Yes,No,Male,Yes,"(68.5, 78.55]",No,Yes,Yes,Electronic check,Fiber optic,"(14.4, 21.6]",No,No,No,Month-to-month,No,Yes,No,6549-HCNCP,0
Yes,No,Female,No,"(68.5, 78.55]",No,Yes,Yes,Electronic check,Fiber optic,"(-0.073, 7.2]",No,No,No,Month-to-month,No,Yes,Yes,0402-MGFIN,1
Yes,Yes,Female,Yes,"(58.45, 68.5]",No,Yes,Yes,Bank transfer (automatic),DSL,"(64.8, 72.0]",No,Yes,No,Two year,Yes,No,No,3137-ZQEPO,0
Yes,Yes,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(-0.073, 7.2]",No internet service,No internet service,No internet service,One year,No internet service,No,No,8775-KFKJH,0
No,Yes,Female,Yes,"(28.3, 38.35]",No,No phone service,No,Mailed check,DSL,"(50.4, 57.6]",No,Yes,No,Two year,Yes,No,No,5293-ROJSF,0
Yes,No,Female,Yes,"(98.65, 108.7]",Yes,Yes,Yes,Credit card (automatic),Fiber optic,"(64.8, 72.0]",Yes,Yes,No,One year,Yes,Yes,Yes,2161-OCPRT,0
No,No,Female,No,"(28.3, 38.35]",No,No phone service,No,Mailed check,DSL,"(-0.073, 7.2]",Yes,No,No,Month-to-month,No,No,No,7396-CFBST,1
Yes,No,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,Electronic check,No,"(28.8, 36.0]",No internet service,No internet service,No internet service,One year,No internet service,Yes,No,5288-UIGMT,0
Yes,Yes,Male,No,"(78.55, 88.6]",Yes,No,Yes,Mailed check,Fiber optic,"(50.4, 57.6]",No,Yes,No,One year,Yes,Yes,No,6300-JACRH,0
Yes,No,Female,Yes,"(98.65, 108.7]",Yes,Yes,Yes,Electronic check,Fiber optic,"(36.0, 43.2]",Yes,No,Yes,Month-to-month,Yes,Yes,No,7511-DWPZW,1
Yes,No,Male,No,"(48.4, 58.45]",Yes,No,Yes,Bank transfer (automatic),DSL,"(7.2, 14.4]",No,No,No,Month-to-month,No,Yes,No,8081-OACWQ,0
Yes,No,Female,Yes,"(78.55, 88.6]",No,No,Yes,Mailed check,DSL,"(14.4, 21.6]",Yes,Yes,Yes,One year,Yes,No,No,3462-IOQBG,0
No,No,Female,No internet service,"(98.65, 108.7]",Yes,Yes,Yes,Bank transfer (automatic),Fiber optic,"(64.8, 72.0]",Yes,Yes,Yes,Two year,Yes,Yes,Yes,4489-CBZXO,0
No,No,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,Mailed check,No,"(14.4, 21.6]",No internet service,No internet service,No internet service,One year,No internet service,No,No,9964-SRERJ,0
Yes,No,Female,Yes,"(48.4, 58.45]",No,No,Yes,Mailed check,DSL,"(-0.073, 7.2]",No,Yes,No,Month-to-month,No,Yes,Yes,3879-RTVZT,1
No,No,Female,Yes,"(78.55, 88.6]",No,Yes,Yes,Credit card (automatic),Fiber optic,"(7.2, 14.4]",No,Yes,No,One year,No,Yes,No,0038-LEUHU,0
Yes,No,Female,No internet service,"(98.65, 108.7]",Yes,Yes,Yes,Electronic check,Fiber optic,"(57.6, 64.8]",Yes,No,Yes,One year,Yes,Yes,No,6124-HBABJ,1
No,No,Male,Yes,"(68.5, 78.55]",Yes,Yes,Yes,Bank transfer (automatic),DSL,"(57.6, 64.8]",No,Yes,No,One year,Yes,No,No,8295-IEPUH,0
Yes,Yes,Female,No,"(28.3, 38.35]",Yes,No phone service,No,Bank transfer (automatic),DSL,"(43.2, 50.4]",No,No,No,One year,No,No,Yes,1076-PIGEA,0
Yes,Yes,Female,No,"(38.35, 48.4]",No,No phone service,No,Electronic check,DSL,"(-0.073, 7.2]",Yes,No,Yes,One year,No,No,No,2835-SQRBU,1
Yes,Yes,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(-0.073, 7.2]",No internet service,No internet service,No internet service,Two year,No internet service,No,No,1203-CXGFI,0
Yes,No,Female,No,"(18.148999999999997, 28.3]",No,No phone service,No,Electronic check,DSL,"(-0.073, 7.2]",No,No,No,Month-to-month,No,Yes,Yes,6599-LVQFT,1
No,No,Male,No,"(98.65, 108.7]",No,Yes,Yes,Bank transfer (automatic),Fiber optic,"(36.0, 43.2]",Yes,Yes,Yes,Month-to-month,Yes,No,No,5169-ZLVEZ,1
Yes,Yes,Male,No,"(98.65, 108.7]",Yes,Yes,Yes,Credit card (automatic),Fiber optic,"(50.4, 57.6]",Yes,No,Yes,One year,Yes,Yes,No,6874-IPTNZ,0
No,No,Female,Yes,"(58.45, 68.5]",Yes,No,Yes,Mailed check,DSL,"(43.2, 50.4]",No,Yes,No,One year,No,Yes,No,4056-TQMXM,0
Yes,No,Male,Yes,"(58.45, 68.5]",No,No phone service,No,Bank transfer (automatic),DSL,"(28.8, 36.0]",Yes,Yes,Yes,Two year,Yes,No,No,2970-NXCIM,0
No,No,Male,Yes,"(98.65, 108.7]",No,Yes,Yes,Electronic check,Fiber optic,"(-0.073, 7.2]",Yes,Yes,Yes,Two year,Yes,Yes,No,1948-CTKPS,1
No,Yes,Male,No,"(18.148999999999997, 28.3]",No,No phone service,No,Mailed check,DSL,"(7.2, 14.4]",No,No internet service,No,Month-to-month,No,No,No,3783-ELCTX,1
Yes,No,Female,Yes,"(78.55, 88.6]",Yes,Yes,Yes,Credit card (automatic),DSL,"(64.8, 72.0]",Yes,No,Yes,Two year,Yes,Yes,No,9988-YYGZY,0
No,No,Male,Yes,"(48.4, 58.45]",No,No,Yes,Mailed check,DSL,"(57.6, 64.8]",No,No,No,One year,Yes,Yes,No,4649-TMTPQ,0
No,No,Male,Yes,"(68.5, 78.55]",Yes,Yes,Yes,Electronic check,DSL,"(57.6, 64.8]",Yes,No,No,One year,No,Yes,Yes,8455-QTWDD,0
No,Yes,Male,No internet service,"(38.35, 48.4]",No,No,Yes,Mailed check,DSL,"(7.2, 14.4]",No,No,No,Month-to-month,No,Yes,No,5075-PSNBJ,1
Yes,Yes,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(14.4, 21.6]",No internet service,No internet service,No internet service,Month-to-month,No internet service,No,No,7001-FZXRY,0
No,No,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Credit card (automatic),No,"(21.6, 28.8]",No internet service,No internet service,No internet service,One year,No internet service,No,No,0931-SZKUV,0
Yes,Yes,Female,No,"(88.6, 98.65]",No,Yes,Yes,Bank transfer (automatic),Fiber optic,"(28.8, 36.0]",Yes,No,No,Two year,Yes,Yes,No,1062-YVBDB,1
Yes,Yes,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Electronic check,No,"(7.2, 14.4]",No internet service,No internet service,No internet service,Month-to-month,No internet service,Yes,No,5927-XLHYE,0
Yes,Yes,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Credit card (automatic),No,"(28.8, 36.0]",No internet service,No internet service,No internet service,One year,No internet service,No,No,4648-JIBBY,0
No,Yes,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(50.4, 57.6]",No internet service,No internet service,No internet service,One year,No internet service,No,No,9687-ZZDDG,0
No,No,Female,No,"(18.148999999999997, 28.3]",No,No phone service,No,Electronic check,DSL,"(-0.073, 7.2]",No,No,No,One year,No,No,Yes,6925-FNYCP,1
Yes,Yes,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(-0.073, 7.2]",No internet service,No internet service,No internet service,One year,No internet service,Yes,No,2089-JGVNB,0
No,No,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Bank transfer (automatic),No,"(36.0, 43.2]",No internet service,No internet service,No internet service,Two year,No internet service,Yes,No,6905-VKWLO,0
Yes,Yes,Male,Yes,"(108.7, 118.75]",Yes,Yes,Yes,Credit card (automatic),Fiber optic,"(7.2, 14.4]",Yes,Yes,Yes,Two year,Yes,Yes,No,9682-MCYHT,0
No,No,Female,No,"(78.55, 88.6]",No,Yes,Yes,Mailed check,Fiber optic,"(36.0, 43.2]",No,No internet service,No,Month-to-month,Yes,Yes,No,5487-ZTHSD,1
No,No,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,Bank transfer (automatic),No,"(43.2, 50.4]",No internet service,No internet service,No internet service,One year,No internet service,No,No,6949-LQRDM,0
No,No,Male,No internet service,"(68.5, 78.55]",No,Yes,Yes,Bank transfer (automatic),DSL,"(43.2, 50.4]",Yes,Yes,No,Two year,Yes,No,No,6835-XZOJA,0
No,Yes,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(50.4, 57.6]",No internet service,No internet service,No internet service,Month-to-month,No internet service,No,No,3271-CBSYS,0
No,No,Male,No,"(58.45, 68.5]",No,Yes,Yes,Electronic check,DSL,"(14.4, 21.6]",No,Yes,No,One year,Yes,No,No,9848-EWYAB,0
No,No,Male,No,"(58.45, 68.5]",Yes,No,Yes,Credit card (automatic),DSL,"(28.8, 36.0]",No,No,Yes,One year,Yes,Yes,No,5351-MAKLG,0
Yes,No,Male,Yes,"(108.7, 118.75]",Yes,Yes,Yes,Bank transfer (automatic),Fiber optic,"(7.2, 14.4]",Yes,Yes,Yes,Two year,Yes,Yes,No,3213-QPZVX,0
Yes,Yes,Male,Yes,"(78.55, 88.6]",No,Yes,Yes,Electronic check,Fiber optic,"(28.8, 36.0]",No,No internet service,Yes,Month-to-month,No,No,No,2918-APJBL,0
No,No,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Bank transfer (automatic),No,"(28.8, 36.0]",No internet service,No internet service,No internet service,One year,No internet service,Yes,No,7340-YFHGK,0
No,No,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(7.2, 14.4]",No internet service,No internet service,No internet service,One year,No internet service,Yes,No,1275-OMQUI,0
No,No,Male,No,"(68.5, 78.55]",No,No,Yes,Credit card (automatic),DSL,"(-0.073, 7.2]",Yes,Yes,Yes,One year,Yes,Yes,No,5687-LMFVL,0
Yes,Yes,Female,Yes,"(58.45, 68.5]",No,Yes,Yes,Bank transfer (automatic),DSL,"(50.4, 57.6]",No,Yes,No,Two year,No,No,No,2822-JRBIJ,0
Yes,Yes,Male,Yes,"(48.4, 58.45]",Yes,No phone service,No,Credit card (automatic),DSL,"(43.2, 50.4]",Yes,Yes,No,Two year,Yes,Yes,No,4362-MTEKA,0
Yes,Yes,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(-0.073, 7.2]",No internet service,No internet service,No internet service,Month-to-month,No internet service,Yes,No,5046-BMJVK,0
Yes,Yes,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(57.6, 64.8]",No internet service,No internet service,No internet service,Two year,No internet service,Yes,No,0375-NCHWW,0
No,No,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Credit card (automatic),No,"(21.6, 28.8]",No internet service,No internet service,No internet service,Two year,No internet service,No,No,8820-BFCUM,0
No,No,Female,Yes,"(58.45, 68.5]",No,No,Yes,Electronic check,DSL,"(14.4, 21.6]",No,Yes,No,One year,Yes,No,No,2723-MLYBH,0
Yes,Yes,Male,Yes,"(48.4, 58.45]",No,Yes,Yes,Electronic check,DSL,"(21.6, 28.8]",No,No internet service,No,One year,No,No,No,1208-LPMBI,1
Yes,No,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(57.6, 64.8]",No internet service,No internet service,No internet service,Two year,No internet service,No,No,1052-PSDKE,0
No,No,Male,No,"(38.35, 48.4]",No,No,Yes,Electronic check,DSL,"(-0.073, 7.2]",No,No internet service,No,Two year,No,Yes,No,5167-FCDID,1
Yes,Yes,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Bank transfer (automatic),No,"(7.2, 14.4]",No internet service,No internet service,No internet service,Month-to-month,No internet service,Yes,No,2164-MNCTU,0
No,No,Female,No,"(68.5, 78.55]",No,No,Yes,Bank transfer (automatic),Fiber optic,"(-0.073, 7.2]",No,No,No,Month-to-month,Yes,Yes,Yes,6674-WEPRM,1
Yes,Yes,Female,Yes,"(78.55, 88.6]",Yes,No,Yes,Mailed check,DSL,"(28.8, 36.0]",Yes,Yes,Yes,Two year,Yes,No,No,7761-FSQWY,0
Yes,Yes,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(64.8, 72.0]",No internet service,No internet service,No internet service,Two year,No internet service,No,No,6974-ICFIN,0
Yes,Yes,Female,No,"(98.65, 108.7]",Yes,Yes,Yes,Credit card (automatic),Fiber optic,"(7.2, 14.4]",Yes,No,Yes,Two year,Yes,Yes,No,3359-JXBIN,1
Yes,Yes,Male,Yes,"(38.35, 48.4]",No,No phone service,No,Credit card (automatic),DSL,"(43.2, 50.4]",No,No,Yes,One year,No,Yes,No,9814-YBVJV,0
Yes,No,Female,No internet service,"(88.6, 98.65]",No,Yes,Yes,Mailed check,Fiber optic,"(21.6, 28.8]",Yes,No,No,Two year,Yes,No,No,2545-AVEUV,0
No,No,Female,No,"(38.35, 48.4]",No,No,Yes,Bank transfer (automatic),DSL,"(50.4, 57.6]",No,No,No,One year,No,No,No,0854-UPVHI,0
No,No,Female,No,"(88.6, 98.65]",No,No,Yes,Electronic check,Fiber optic,"(50.4, 57.6]",Yes,No,Yes,One year,No,Yes,No,6084-KBQKF,1
No,No,Male,No,"(68.5, 78.55]",No,Yes,Yes,Electronic check,Fiber optic,"(7.2, 14.4]",No,No,No,Month-to-month,No,No,No,3757-WTCWT,0
Yes,Yes,Female,No,"(78.55, 88.6]",Yes,Yes,Yes,Electronic check,Fiber optic,"(7.2, 14.4]",No,Yes,No,Two year,Yes,Yes,No,0790-MOLSX,1
Yes,Yes,Male,No internet service,"(68.5, 78.55]",Yes,Yes,Yes,Credit card (automatic),DSL,"(64.8, 72.0]",Yes,Yes,No,Two year,No,No,No,4996-TZOJI,0
No,Yes,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,Bank transfer (automatic),No,"(50.4, 57.6]",No internet service,No internet service,No internet service,Two year,No internet service,No,No,3212-YHFMN,0
No,No,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Credit card (automatic),No,"(64.8, 72.0]",No internet service,No internet service,No internet service,Two year,No internet service,No,Yes,0091-PRLZJ,0
No,Yes,Female,No internet service,"(48.4, 58.45]",Yes,No,Yes,Mailed check,DSL,"(36.0, 43.2]",No,No,No,Month-to-month,No,No,No,2231-OXAPT,0
Yes,No,Female,No,"(98.65, 108.7]",Yes,Yes,Yes,Credit card (automatic),Fiber optic,"(21.6, 28.8]",Yes,Yes,Yes,One year,Yes,Yes,Yes,3785-TZPYL,0
No,No,Female,No,"(78.55, 88.6]",Yes,Yes,Yes,Bank transfer (automatic),Fiber optic,"(43.2, 50.4]",No,No,No,Month-to-month,Yes,Yes,Yes,3608-LZEWJ,1
Yes,Yes,Male,No internet service,"(88.6, 98.65]",No,Yes,Yes,Bank transfer (automatic),Fiber optic,"(7.2, 14.4]",No,Yes,Yes,One year,Yes,Yes,No,3218-SNBCX,0
No,Yes,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(50.4, 57.6]",No internet service,No internet service,No internet service,One year,No internet service,No,No,4055-HXMKA,0
Yes,No,Male,No,"(68.5, 78.55]",No,Yes,Yes,Mailed check,Fiber optic,"(-0.073, 7.2]",No,No internet service,No,Month-to-month,No,Yes,No,2339-PHCDS,1
No,No,Male,Yes,"(78.55, 88.6]",Yes,No,Yes,Credit card (automatic),Fiber optic,"(28.8, 36.0]",No,No internet service,No,Two year,Yes,Yes,No,2818-GMUYO,0
No,No,Female,No,"(88.6, 98.65]",Yes,No,Yes,Electronic check,Fiber optic,"(36.0, 43.2]",No,No,Yes,One year,Yes,Yes,No,3060-ZKNWX,0
No,Yes,Female,No,"(78.55, 88.6]",No,No,Yes,Electronic check,Fiber optic,"(28.8, 36.0]",No,Yes,Yes,Month-to-month,No,No,No,3876-LYCUX,1
Yes,No,Male,Yes,"(78.55, 88.6]",No,No,Yes,Electronic check,DSL,"(64.8, 72.0]",Yes,Yes,Yes,Two year,Yes,Yes,No,4945-MGQYF,0
Yes,Yes,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(7.2, 14.4]",No internet service,No internet service,No internet service,Two year,No internet service,No,No,0858-TNYBY,0
No,No,Male,Yes,"(88.6, 98.65]",No,Yes,Yes,Credit card (automatic),Fiber optic,"(43.2, 50.4]",No,No,Yes,Two year,No,Yes,No,2356-XSOSC,0
No,No,Male,Yes,"(48.4, 58.45]",No,No,Yes,Mailed check,DSL,"(-0.073, 7.2]",No,No,No,Month-to-month,No,Yes,No,2235-EKOXW,0
No,No,Female,No internet service,"(78.55, 88.6]",Yes,No,Yes,Bank transfer (automatic),Fiber optic,"(-0.073, 7.2]",No,No,Yes,Month-to-month,No,Yes,No,9537-NYNMI,1
