Contract,OnlineBackup,PhoneService,OnlineSecurity,InternetService,StreamingMovies,PaymentMethod,TechSupport,Dependents,PaperlessBilling,MultipleLines,gender,DeviceProtection,SeniorCitizen,StreamingTV,tenure_bins,monthly_charges_bins,Partner,customerID,Churn
One year,Yes,Yes,No,Fiber optic,Yes,Bank transfer (automatic),Yes,No,No,Yes,Male,No,Yes,Yes,"(64.8, 72.0]","(98.65, 108.7]",No,2452-FXNGN,0
Month-to-month,No,Yes,No,DSL,No,Credit card (automatic),Yes,No,No,Yes,Female,No,Yes,No,"(14.4, 21.6]","(48.4, 58.45]",No,0155-OSPUN,1
Month-to-month,No,Yes,No,DSL,No,Electronic check,No,No,No,Yes,Male,No,No,No,"(14.4, 21.6]","(48.4, 58.45]",No,0606-OAOVP,1
Two year,No,Yes,No,Fiber optic,Yes,Electronic check,No,No,No,Yes,Male,Yes,No,Yes,"(57.6, 64.8]","(98.65, 108.7]",Yes,6732-EFECG,0
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,No,No,Male,No internet service,No,No internet service,"(14.4, 21.6]","(18.148999999999997, 28.3]",No,6361-EOQPE,0
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,No,No,Male,No internet service,No,No internet service,"(57.6, 64.8]","(18.148999999999997, 28.3]",No,0003-WWASS,0
Two year,Yes,Yes,Yes,Fiber optic,Yes,Credit card (automatic),Yes,Yes,Yes,Yes,Male,Yes,Yes,Yes,"(64.8, 72.0]","(108.7, 118.75]",Yes,2885-NUHOV,0
Two year,Yes,Yes,Yes,Fiber optic,Yes,Bank transfer (automatic),No,No,Yes,Yes,Male,Yes,No,No,"(64.8, 72.0]","(98.65, 108.7]",No,1766-THKMM,0
Month-to-month,No,Yes,No,DSL,No,Electronic check,Yes,No,No,Yes,Female,No,No,Yes,"(-0.073, 7.2]","(58.45, 68.5]",No,3784-BQOYA,0
Month-to-month,No,Yes,No,DSL,No,Electronic check,Yes,No,Yes,No,Female,No,No,No,"(-0.073, 7.2]","(48.4, 58.45]",Yes,3634-ANTGN,1
Month-to-month,No,Yes,No,DSL,Yes,Electronic check,No,Yes,Yes,Yes,Male,Yes,No,Yes,"(36.0, 43.2]","(68.5, 78.55]",Yes,9609-XKJRO,0
Month-to-month,Yes,Yes,No,Fiber optic,No,Credit card (automatic),No,No,Yes,Yes,Female,No,No,Yes,"(43.2, 50.4]","(88.6, 98.65]",No,4394-XWAGQ,1
Two year,Yes,Yes,Yes,Fiber optic,Yes,Credit card (automatic),Yes,Yes,Yes,Yes,Male,Yes,No,Yes,"(64.8, 72.0]","(108.7, 118.75]",Yes,4651-DOHZZ,0
Two year,Yes,Yes,Yes,DSL,Yes,Credit card (automatic),No,No,Yes,Yes,Female,Yes,No,Yes,"(64.8, 72.0]","(78.55, 88.6]",Yes,4261-ZCZFV,0
Month-to-month,No,Yes,No,Fiber optic,No,Bank transfer (automatic),No,No,Yes,No,Female,No,No,Yes,"(7.2, 14.4]","(78.55, 88.6]",No,8442-DLWDG,0
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,Yes,Male,No,No,No,"(-0.073, 7.2]","(68.5, 78.55]",No,1229-UADXN,1
Month-to-month,No,Yes,No,DSL,No,Mailed check,No,Yes,No,No,Female,Yes,No,No,"(-0.073, 7.2]","(48.4, 58.45]",Yes,9263-YRJPO,1
Month-to-month,No,Yes,Yes,Fiber optic,Yes,Credit card (automatic),No,Yes,No,No,Male,No,No,Yes,"(28.8, 36.0]","(88.6, 98.65]",Yes,4059-ASZOB,1
One year,No internet service,Yes,No internet service,No,No internet service,Electronic check,No internet service,No,No,No,Male,No internet service,No,No internet service,"(50.4, 57.6]","(18.148999999999997, 28.3]",No,0631-UHQHK,0
Month-to-month,No,Yes,Yes,Fiber optic,Yes,Electronic check,No,Yes,No,No,Male,No,No,Yes,"(-0.073, 7.2]","(88.6, 98.65]",Yes,2252-ISVJU,0
Two year,No internet service,Yes,No internet service,No,No internet service,Bank transfer (automatic),No internet service,Yes,Yes,Yes,Male,No internet service,Yes,No internet service,"(57.6, 64.8]","(18.148999999999997, 28.3]",Yes,9244-JJVSO,0
