TechSupport,InternetService,DeviceProtection,StreamingTV,OnlineSecurity,monthly_charges_bins,tenure_bins,OnlineBackup,PaymentMethod,Contract,Dependents,Partner,gender,SeniorCitizen,PhoneService,MultipleLines,PaperlessBilling,StreamingMovies,customerID,Churn
No,DSL,No,No,No,"(48.4, 58.45]","(-0.073, 7.2]",Yes,Bank transfer (automatic),Month-to-month,No,No,Female,No,Yes,No,No,No,d0663b44-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,No,"(98.65, 108.7]","(7.2, 14.4]",No,Bank transfer (automatic),Month-to-month,No,No,Female,No,Yes,Yes,Yes,Yes,d4216a10-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,Yes,Yes,"(98.65, 108.7]","(43.2, 50.4]",Yes,Credit card (automatic),Month-to-month,Yes,Yes,Female,No,Yes,Yes,Yes,Yes,d5ea622a-82c9-11ec-acdd-acde48001122,0
No,DSL,Yes,Yes,Yes,"(78.55, 88.6]","(43.2, 50.4]",Yes,Credit card (automatic),One year,No,No,Female,No,Yes,Yes,Yes,Yes,cfd9a9fe-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,Yes,"(78.55, 88.6]","(43.2, 50.4]",No,Electronic check,Month-to-month,No,No,Male,Yes,Yes,No,No,Yes,d5c410f2-82c9-11ec-acdd-acde48001122,1
Yes,DSL,No,No,Yes,"(48.4, 58.45]","(-0.073, 7.2]",No,Electronic check,Month-to-month,Yes,No,Female,No,Yes,No,No,No,c824006a-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,No,No,"(88.6, 98.65]","(64.8, 72.0]",Yes,Credit card (automatic),Two year,No,Yes,Female,Yes,Yes,No,No,Yes,d38ac01a-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,No,No,"(48.4, 58.45]","(36.0, 43.2]",No,Bank transfer (automatic),Two year,No,No,Male,No,Yes,No,Yes,No,c7f8a686-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,No,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No,Electronic check,Month-to-month,Yes,No,Male,No,No,No phone service,No,No,d0f1563e-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,Yes,No,Yes,"(78.55, 88.6]","(57.6, 64.8]",No,Credit card (automatic),One year,No,Yes,Male,Yes,Yes,No,No,No,d350cce8-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(-0.073, 7.2]",No,Mailed check,Month-to-month,No,No,Male,No,Yes,No,No,No,c5347876-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,No,Yes,"(78.55, 88.6]","(64.8, 72.0]",No,Bank transfer (automatic),Two year,Yes,Yes,Female,No,Yes,Yes,No,No,d5947c48-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(88.6, 98.65]","(36.0, 43.2]",Yes,Electronic check,Month-to-month,No,No,Male,Yes,Yes,Yes,No,Yes,d57f41d4-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,No,"(48.4, 58.45]","(-0.073, 7.2]",Yes,Electronic check,Month-to-month,Yes,No,Male,No,Yes,No,Yes,No,d05f76ec-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,No,Yes,"(58.45, 68.5]","(43.2, 50.4]",Yes,Bank transfer (automatic),One year,No,Yes,Male,No,Yes,No,Yes,No,c75f6958-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Mailed check,Month-to-month,No,Yes,Female,No,Yes,No,No,No internet service,c533a680-82c9-11ec-acdd-acde48001122,0
No,DSL,No,Yes,Yes,"(38.35, 48.4]","(-0.073, 7.2]",No,Credit card (automatic),Month-to-month,Yes,Yes,Male,No,No,No phone service,No,No,d16f9120-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Mailed check,Month-to-month,Yes,No,Male,No,Yes,No,No,No internet service,c4703f4c-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,No,"(88.6, 98.65]","(64.8, 72.0]",No,Electronic check,One year,No,Yes,Female,No,Yes,Yes,Yes,Yes,d2d68bcc-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,No,"(88.6, 98.65]","(21.6, 28.8]",Yes,Credit card (automatic),Month-to-month,No,Yes,Male,No,Yes,Yes,No,No,d2e383fe-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(64.8, 72.0]",No internet service,Electronic check,Two year,Yes,Yes,Male,No,Yes,No,No,No internet service,c5f0e2cc-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,No,"(98.65, 108.7]","(64.8, 72.0]",Yes,Bank transfer (automatic),Two year,No,No,Male,No,Yes,Yes,Yes,Yes,d4881210-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(-0.073, 7.2]",No,Credit card (automatic),Month-to-month,No,No,Female,No,Yes,No,Yes,No,cfe60d66-82c9-11ec-acdd-acde48001122,1
No,DSL,No,Yes,No,"(28.3, 38.35]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Female,No,No,No phone service,Yes,No,c6587ae0-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,Yes,No,Yes,"(78.55, 88.6]","(7.2, 14.4]",No,Mailed check,Month-to-month,No,No,Male,No,Yes,No,Yes,No,d382f600-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,No,"(88.6, 98.65]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Male,No,Yes,No,Yes,Yes,c4990274-82c9-11ec-acdd-acde48001122,1
Yes,Fiber optic,Yes,No,No,"(78.55, 88.6]","(50.4, 57.6]",Yes,Bank transfer (automatic),Month-to-month,Yes,Yes,Female,No,Yes,No,No,No,caa16850-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,Yes,Yes,"(68.5, 78.55]","(-0.073, 7.2]",Yes,Electronic check,Month-to-month,No,No,Female,No,Yes,No,Yes,Yes,cce9ba22-82c9-11ec-acdd-acde48001122,0
No,DSL,Yes,No,Yes,"(68.5, 78.55]","(43.2, 50.4]",Yes,Bank transfer (automatic),Two year,Yes,Yes,Male,Yes,Yes,Yes,Yes,Yes,ceb5ff00-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,No,"(88.6, 98.65]","(50.4, 57.6]",No,Bank transfer (automatic),One year,No,Yes,Female,No,Yes,No,Yes,Yes,d2c7af94-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,No,No,"(68.5, 78.55]","(28.8, 36.0]",No,Electronic check,Month-to-month,No,No,Female,Yes,Yes,No,No,No,cf5188b2-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,No,No,"(88.6, 98.65]","(36.0, 43.2]",Yes,Electronic check,Month-to-month,Yes,Yes,Female,No,Yes,Yes,Yes,Yes,d35c0d06-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,No,"(88.6, 98.65]","(7.2, 14.4]",Yes,Electronic check,Month-to-month,No,No,Female,Yes,Yes,Yes,Yes,No,d51c5308-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(28.8, 36.0]",No internet service,Credit card (automatic),One year,Yes,No,Female,No,Yes,No,Yes,No internet service,c9b66d00-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,Yes,Yes,Yes,"(108.7, 118.75]","(64.8, 72.0]",Yes,Bank transfer (automatic),Two year,No,Yes,Female,Yes,Yes,No,Yes,Yes,c8c629ee-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,No,No,"(28.3, 38.35]","(-0.073, 7.2]",No,Mailed check,Month-to-month,Yes,Yes,Female,No,No,No phone service,Yes,No,c6c5cd70-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,Yes,No,"(78.55, 88.6]","(57.6, 64.8]",No,Electronic check,One year,No,No,Female,Yes,Yes,Yes,No,No,d522f212-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,No,"(98.65, 108.7]","(36.0, 43.2]",No,Electronic check,Month-to-month,No,No,Female,No,Yes,Yes,Yes,Yes,d4345396-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,No,"(38.35, 48.4]","(-0.073, 7.2]",No,Mailed check,Month-to-month,No,No,Male,No,Yes,No,No,No,c472d022-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,No,No,"(78.55, 88.6]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,Yes,Female,Yes,Yes,Yes,Yes,Yes,c59413c6-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,Yes,No,Yes,"(78.55, 88.6]","(57.6, 64.8]",Yes,Credit card (automatic),One year,No,Yes,Male,Yes,Yes,No,Yes,No,d34ff174-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(14.4, 21.6]",No internet service,Mailed check,One year,Yes,Yes,Male,No,Yes,No,No,No internet service,c4bac03a-82c9-11ec-acdd-acde48001122,0
No,DSL,Yes,No,No,"(48.4, 58.45]","(21.6, 28.8]",No,Mailed check,Month-to-month,No,No,Male,No,Yes,No,Yes,No,ced489ac-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,No,"(28.3, 38.35]","(-0.073, 7.2]",Yes,Electronic check,Month-to-month,No,Yes,Female,No,No,No phone service,Yes,No,d0c690ca-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(64.8, 72.0]",No internet service,Mailed check,Two year,No,No,Male,Yes,Yes,Yes,Yes,No internet service,c6955c4e-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(28.8, 36.0]",No internet service,Mailed check,Two year,Yes,Yes,Female,No,Yes,No,No,No internet service,c4a3923e-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,No,No,No,"(78.55, 88.6]","(50.4, 57.6]",Yes,Mailed check,Month-to-month,No,No,Male,No,Yes,No,Yes,No,cbb160c4-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Female,Yes,Yes,Yes,Yes,No,c4bc6d5e-82c9-11ec-acdd-acde48001122,1
