InternetService,Dependents,Partner,StreamingTV,OnlineSecurity,PaperlessBilling,SeniorCitizen,StreamingMovies,tenure_bins,PaymentMethod,DeviceProtection,Contract,TechSupport,monthly_charges_bins,MultipleLines,gender,PhoneService,OnlineBackup,customerID,Churn
Fiber optic,No,Yes,No,No,Yes,No,No,"(57.6, 64.8]",Bank transfer (automatic),No,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,Yes,c41c6fb2-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,No,"(21.6, 28.8]",Electronic check,Yes,Month-to-month,Yes,"(78.55, 88.6]",No,Male,Yes,Yes,cfaee8b4-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,Yes,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(78.55, 88.6]",No,Female,Yes,Yes,d0334dfc-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,No,No,No,No,Yes,"(57.6, 64.8]",Electronic check,Yes,Two year,Yes,"(48.4, 58.45]",No phone service,Female,No,Yes,d2c5f36c-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,becf8bde-7b0c-11ec-a944-acde48001122,1
No,No,Yes,No internet service,No internet service,No,No,No internet service,"(43.2, 50.4]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,bf46249c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,bed07d14-7b0c-11ec-a944-acde48001122,1
No,No,No,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Female,Yes,No internet service,bfe2417e-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(28.8, 36.0]",Electronic check,No,Month-to-month,Yes,"(88.6, 98.65]",No,Male,Yes,No,c0be16c2-7b0c-11ec-a944-acde48001122,1
DSL,Yes,No,No,Yes,No,No,Yes,"(14.4, 21.6]",Mailed check,Yes,One year,No,"(58.45, 68.5]",No,Female,Yes,No,d37b6846-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,No,"(21.6, 28.8]",Mailed check,No,Month-to-month,No,"(68.5, 78.55]",No,Male,Yes,No,c05b567c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(43.2, 50.4]",Bank transfer (automatic),Yes,Two year,Yes,"(98.65, 108.7]",No,Female,Yes,Yes,c4a8586a-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,Yes,"(7.2, 14.4]",Electronic check,Yes,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,Yes,d0559d9e-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(14.4, 21.6]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,bf99c7be-7b0c-11ec-a944-acde48001122,0
No,Yes,No,No internet service,No internet service,No,No,No internet service,"(14.4, 21.6]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Female,Yes,No internet service,c6f4a63c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(21.6, 28.8]",Mailed check,Yes,Month-to-month,Yes,"(98.65, 108.7]",Yes,Male,Yes,No,c44a63e0-7b0c-11ec-a944-acde48001122,1
