,PaymentMethod_x,PaymentMethod_y
0,Electronic check,Credit card (automatic)
1,Mailed check,Mailed check
2,Mailed check,Mailed check
3,Bank transfer (automatic),Bank transfer (automatic)
4,Electronic check,Electronic check
5,Electronic check,Electronic check
6,Credit card (automatic),Credit card (automatic)
7,Mailed check,Mailed check
8,Electronic check,Electronic check
9,Bank transfer (automatic),Bank transfer (automatic)
10,Mailed check,Mailed check
11,Credit card (automatic),Credit card (automatic)
12,Credit card (automatic),Credit card (automatic)
13,Bank transfer (automatic),Bank transfer (automatic)
14,Electronic check,Electronic check
15,Credit card (automatic),Credit card (automatic)
16,Mailed check,Mailed check
17,Bank transfer (automatic),Bank transfer (automatic)
18,Credit card (automatic),Credit card (automatic)
19,Electronic check,Bank transfer (automatic)
20,Electronic check,Electronic check
21,Bank transfer (automatic),Bank transfer (automatic)
22,Mailed check,Mailed check
23,Credit card (automatic),Credit card (automatic)
24,Credit card (automatic),Credit card (automatic)
25,Bank transfer (automatic),Bank transfer (automatic)
26,Electronic check,Electronic check
27,Electronic check,Electronic check
28,Credit card (automatic),Credit card (automatic)
29,Mailed check,Mailed check
30,Credit card (automatic),Credit card (automatic)
31,Credit card (automatic),Credit card (automatic)
32,Mailed check,Mailed check
33,Bank transfer (automatic),Bank transfer (automatic)
34,Bank transfer (automatic),Bank transfer (automatic)
35,Bank transfer (automatic),Bank transfer (automatic)
36,Electronic check,Electronic check
37,Credit card (automatic),Credit card (automatic)
38,Electronic check,Electronic check
39,Bank transfer (automatic),Bank transfer (automatic)
40,Mailed check,Mailed check
41,Credit card (automatic),Credit card (automatic)
42,Mailed check,Mailed check
43,Credit card (automatic),Credit card (automatic)
44,Electronic check,Electronic check
45,Electronic check,Electronic check
46,Mailed check,Mailed check
47,Electronic check,Electronic check
48,Credit card (automatic),Credit card (automatic)
49,Credit card (automatic),Credit card (automatic)
50,Electronic check,Electronic check
51,Credit card (automatic),Credit card (automatic)
52,Credit card (automatic),Credit card (automatic)
53,Credit card (automatic),Credit card (automatic)
54,Credit card (automatic),Credit card (automatic)
55,Electronic check,Credit card (automatic)
56,Credit card (automatic),Credit card (automatic)
57,Electronic check,Electronic check
58,Credit card (automatic),Credit card (automatic)
59,Credit card (automatic),Credit card (automatic)
60,Electronic check,Electronic check
61,Bank transfer (automatic),Bank transfer (automatic)
62,Bank transfer (automatic),Bank transfer (automatic)
63,Credit card (automatic),Credit card (automatic)
64,Electronic check,Electronic check
65,Electronic check,Credit card (automatic)
66,Electronic check,Electronic check
67,Mailed check,Mailed check
68,Bank transfer (automatic),Bank transfer (automatic)
69,Mailed check,Mailed check
70,Mailed check,Mailed check
71,Electronic check,Electronic check
72,Bank transfer (automatic),Bank transfer (automatic)
73,Bank transfer (automatic),Bank transfer (automatic)
74,Bank transfer (automatic),Bank transfer (automatic)
75,Electronic check,Credit card (automatic)
76,Credit card (automatic),Credit card (automatic)
77,Mailed check,Mailed check
78,Electronic check,Electronic check
79,Credit card (automatic),Credit card (automatic)
80,Electronic check,Electronic check
81,Electronic check,Credit card (automatic)
82,Bank transfer (automatic),Bank transfer (automatic)
83,Bank transfer (automatic),Bank transfer (automatic)
84,Bank transfer (automatic),Bank transfer (automatic)
85,Credit card (automatic),Credit card (automatic)
86,Bank transfer (automatic),Bank transfer (automatic)
87,Bank transfer (automatic),Bank transfer (automatic)
88,Mailed check,Mailed check
89,Mailed check,Mailed check
90,Bank transfer (automatic),Bank transfer (automatic)
91,Electronic check,Electronic check
92,Mailed check,Mailed check
93,Credit card (automatic),Credit card (automatic)
94,Bank transfer (automatic),Bank transfer (automatic)
95,Electronic check,Electronic check
96,Credit card (automatic),Credit card (automatic)
97,Mailed check,Mailed check
98,Bank transfer (automatic),Bank transfer (automatic)
99,Electronic check,Electronic check
100,Mailed check,Mailed check
101,Electronic check,Electronic check
102,Bank transfer (automatic),Bank transfer (automatic)
103,Bank transfer (automatic),Bank transfer (automatic)
104,Bank transfer (automatic),Bank transfer (automatic)
105,Mailed check,Mailed check
106,Electronic check,Bank transfer (automatic)
107,Mailed check,Mailed check
108,Mailed check,Mailed check
109,Credit card (automatic),Credit card (automatic)
110,Electronic check,Bank transfer (automatic)
111,Credit card (automatic),Credit card (automatic)
112,Electronic check,Bank transfer (automatic)
113,Electronic check,Electronic check
114,Electronic check,Bank transfer (automatic)
115,Electronic check,Mailed check
116,Bank transfer (automatic),Bank transfer (automatic)
117,Electronic check,Mailed check
118,Mailed check,Mailed check
119,Credit card (automatic),Credit card (automatic)
120,Credit card (automatic),Credit card (automatic)
121,Mailed check,Mailed check
122,Electronic check,Bank transfer (automatic)
123,Mailed check,Mailed check
124,Mailed check,Mailed check
125,Electronic check,Electronic check
126,Electronic check,Electronic check
127,Bank transfer (automatic),Bank transfer (automatic)
128,Mailed check,Mailed check
129,Electronic check,Electronic check
130,Electronic check,Electronic check
131,Credit card (automatic),Credit card (automatic)
132,Bank transfer (automatic),Bank transfer (automatic)
133,Electronic check,Mailed check
134,Electronic check,Electronic check
135,Credit card (automatic),Credit card (automatic)
136,Bank transfer (automatic),Bank transfer (automatic)
137,Mailed check,Mailed check
138,Mailed check,Mailed check
139,Mailed check,Mailed check
140,Credit card (automatic),Credit card (automatic)
141,Electronic check,Mailed check
142,Bank transfer (automatic),Bank transfer (automatic)
143,Credit card (automatic),Credit card (automatic)
144,Bank transfer (automatic),Bank transfer (automatic)
145,Credit card (automatic),Credit card (automatic)
146,Mailed check,Mailed check
147,Electronic check,Electronic check
148,Credit card (automatic),Credit card (automatic)
149,Mailed check,Mailed check
150,Electronic check,Electronic check
151,Mailed check,Mailed check
152,Credit card (automatic),Credit card (automatic)
153,Electronic check,Electronic check
154,Mailed check,Mailed check
155,Bank transfer (automatic),Bank transfer (automatic)
156,Bank transfer (automatic),Bank transfer (automatic)
157,Mailed check,Mailed check
158,Mailed check,Mailed check
159,Bank transfer (automatic),Bank transfer (automatic)
160,Electronic check,Electronic check
161,Electronic check,Electronic check
162,Electronic check,Electronic check
163,Bank transfer (automatic),Bank transfer (automatic)
164,Mailed check,Mailed check
165,Mailed check,Mailed check
166,Bank transfer (automatic),Bank transfer (automatic)
167,Bank transfer (automatic),Bank transfer (automatic)
168,Electronic check,Electronic check
169,Electronic check,Electronic check
170,Bank transfer (automatic),Bank transfer (automatic)
171,Electronic check,Electronic check
172,Mailed check,Mailed check
173,Bank transfer (automatic),Bank transfer (automatic)
174,Bank transfer (automatic),Bank transfer (automatic)
175,Electronic check,Electronic check
176,Mailed check,Mailed check
177,Bank transfer (automatic),Bank transfer (automatic)
178,Bank transfer (automatic),Bank transfer (automatic)
179,Credit card (automatic),Credit card (automatic)
180,Bank transfer (automatic),Bank transfer (automatic)
181,Mailed check,Mailed check
