,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Period
16,8191-XWSZG,Female,No,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,39.69375109831881,1828.2226871815867,0,M12
135,7799-LGRDP,Female,No,No,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),39.69375109831881,1993.4726871815867,1,M12
190,7100-FQPRV,Male,No,Yes,Yes,55,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),39.69375109831881,3978.622687181586,1,M12
226,6341-JVQGF,Female,No,Yes,Yes,43,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,39.69375109831881,3351.0226871815867,0,M12
228,4811-JBUVU,Male,No,No,No,42,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),39.69375109831881,3528.4226871815863,0,M12
234,1984-GPTEH,Female,No,No,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,39.69375109831881,1507.272687181587,0,M12
249,0959-WHOKV,Male,No,No,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,39.69375109831881,5103.7226871815865,0,M12
253,3282-ZISZV,Male,No,No,Yes,44,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),39.69375109831881,3438.572687181587,0,M12
331,9498-FIMXL,Female,No,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,39.69375109831881,967.2226871815865,0,M12
343,9639-BUJXT,Male,No,No,No,75,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,39.69375109831881,2133.4226871815868,0,M12
436,4980-URKXC,Male,No,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),39.69375109831881,1525.3226871815866,0,M12
506,8981-FJGLA,Male,No,No,Yes,23,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,39.69375109831881,1657.0726871815866,0,M12
549,8138-EALND,Male,No,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.69375109831881,1116.8726871815866,1,M12
556,2654-VBVPB,Female,No,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),39.69375109831881,825.1726871815865,0,M12
590,0619-OLYUR,Male,No,Yes,No,84,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),39.69375109831881,8876.322687181584,0,M12
599,0374-FIUCA,Male,No,Yes,No,77,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),39.69375109831881,2219.7226871815865,1,M12
653,1140-UKVZG,Female,No,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.69375109831881,1280.522687181587,0,M12
670,5642-MHDQT,Female,No,Yes,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),39.69375109831881,1844.7226871815867,0,M12
694,2682-KEVRP,Female,Yes,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,39.69375109831881,1222.272687181587,1,M12
802,8859-AXJZP,Male,No,Yes,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,39.69375109831881,1709.0726871815866,0,M12
812,8098-TDCBU,Female,No,Yes,No,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,39.69375109831881,1913.4726871815867,1,M12
832,3487-EARAT,Female,No,Yes,Yes,82,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),39.69375109831881,6027.572687181587,0,M12
835,4250-WAROZ,Male,Yes,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,39.69375109831881,6579.822687181587,0,M12
885,4661-NJEUX,Male,No,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,39.69375109831881,825.3226871815865,0,M12
899,2267-FPIMA,Male,No,Yes,No,62,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),39.69375109831881,5720.172687181586,0,M12
1109,3391-JSQEW,Male,No,Yes,No,52,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,39.69375109831881,2863.7726871815867,1,M12
1187,8089-UZWLX,Female,Yes,No,No,83,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),39.69375109831881,8218.822687181586,0,M12
1247,5593-SUAOO,Female,No,Yes,Yes,36,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),39.69375109831881,2838.322687181586,0,M12
1274,7182-OVLBJ,Female,No,Yes,Yes,74,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),39.69375109831881,7443.622687181587,1,M12
1329,3910-MRQOY,Female,No,Yes,No,84,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),39.69375109831881,2301.7226871815865,0,M12
1400,7521-YXVZY,Male,No,No,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.69375109831881,863.5726871815865,0,M12
1408,5678-VFNEQ,Female,No,Yes,No,83,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),39.69375109831881,8217.522687181587,1,M12
1459,3070-BDOQC,Female,No,No,No,72,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,39.69375109831881,6746.322687181587,0,M12
1467,8970-ANWXO,Female,No,No,No,35,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,39.69375109831881,2561.872687181586,0,M12
1526,2984-AFWNC,Female,No,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,39.69375109831881,1098.4226871815865,0,M12
1584,9906-NHHVC,Female,Yes,No,No,77,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),39.69375109831881,4323.172687181586,0,M12
1585,4522-XRWWI,Male,No,Yes,No,54,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),39.69375109831881,4181.172687181586,0,M12
1638,8883-ANODQ,Female,No,Yes,Yes,80,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),39.69375109831881,6552.022687181587,0,M12
1667,4403-BWPAY,Male,No,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),39.69375109831881,1126.9726871815865,0,M12
1709,3280-MRDOF,Male,Yes,No,No,42,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),39.69375109831881,2899.1726871815863,1,M12
1717,0404-AHASP,Male,No,Yes,No,84,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),39.69375109831881,2227.1726871815868,0,M12
1719,2081-VEYEH,Male,No,No,No,15,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,39.69375109831881,1123.8726871815866,0,M12
1722,9060-HJJRW,Female,No,No,No,63,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),39.69375109831881,3733.7726871815867,0,M12
1732,9705-IOVQQ,Male,Yes,Yes,Yes,73,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,39.69375109831881,6774.572687181587,0,M12
1733,1015-OWJKI,Male,No,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.69375109831881,824.3226871815865,0,M12
1748,8540-ZQGEA,Female,No,Yes,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),39.69375109831881,1907.672687181587,0,M12
1776,5605-XNWEN,Male,Yes,Yes,No,84,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),39.69375109831881,2607.822687181586,0,M12
1792,8401-EMUWF,Male,No,Yes,Yes,54,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),39.69375109831881,3863.572687181587,0,M12
1924,1845-CSBRZ,Female,Yes,Yes,Yes,34,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),39.69375109831881,2766.872687181586,0,M12
1992,3365-SAIGS,Female,No,No,No,29,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,39.69375109831881,2134.4226871815868,0,M12
2001,3977-QCRSL,Female,No,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.69375109831881,923.2226871815866,0,M12
2009,7639-OPLNG,Male,No,Yes,Yes,82,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),39.69375109831881,6537.122687181587,0,M12
2112,8383-SGHJU,Female,No,No,No,45,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,39.69375109831881,2758.072687181586,0,M12
2120,5793-YOLJN,Female,No,Yes,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,39.69375109831881,2015.5726871815866,0,M12
2125,8311-UEUAB,Female,No,Yes,Yes,79,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,39.69375109831881,6034.7226871815865,0,M12
2144,1763-WQFUK,Male,No,No,No,15,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,39.69375109831881,953.0226871815865,1,M12
2174,1178-PZGAB,Female,No,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),39.69375109831881,1188.9226871815868,1,M12
2234,4500-HKANN,Male,No,Yes,Yes,35,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,No,Mailed check,39.69375109831881,2219.4726871815865,1,M12
2306,7245-NIIWQ,Female,No,No,No,15,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,39.69375109831881,1005.1226871815865,0,M12
2352,3981-QSVQI,Male,No,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),39.69375109831881,974.1726871815865,0,M12
2369,9570-KYEUA,Male,No,No,No,76,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),39.69375109831881,7354.7226871815865,0,M12
2426,1049-FYSYG,Female,No,Yes,No,29,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),39.69375109831881,1451.3226871815866,0,M12
2466,7717-BICXI,Male,No,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,39.69375109831881,2010.3226871815866,0,M12
2505,1776-SPBWV,Female,No,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),39.69375109831881,1487.3726871815868,0,M12
2508,9405-GPBBG,Female,No,No,No,76,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),39.69375109831881,7874.522687181587,0,M12
2544,7285-KLOTR,Female,No,Yes,No,24,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,39.69375109831881,1682.022687181587,0,M12
2588,5780-INQIK,Female,No,No,No,20,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,39.69375109831881,1213.522687181587,0,M12
2750,1179-INLAT,Male,No,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,39.69375109831881,874.5226871815864,0,M12
2808,6645-MXQJT,Male,No,Yes,Yes,14,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,39.69375109831881,989.4226871815865,1,M12
2852,5485-ITNPC,Male,No,Yes,No,78,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),39.69375109831881,6400.572687181587,1,M12
2853,0233-FTHAV,Female,No,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),39.69375109831881,5570.272687181587,0,M12
2910,5622-UEJFI,Female,No,Yes,Yes,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),39.69375109831881,1755.0726871815866,1,M12
2996,6620-JDYNW,Female,No,No,No,30,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,39.69375109831881,1961.6226871815868,0,M12
3120,3148-AOIQT,Female,No,Yes,No,81,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),39.69375109831881,2523.622687181586,0,M12
3179,3721-WKIIL,Female,No,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,39.69375109831881,1366.4226871815868,0,M12
3190,3745-HRPHI,Male,No,Yes,Yes,78,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),39.69375109831881,4437.272687181588,0,M12
3214,0549-CYCQN,Male,Yes,No,No,63,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),39.69375109831881,4779.9726871815865,0,M12
3218,6869-FGJJC,Male,No,No,No,80,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),39.69375109831881,6266.7226871815865,0,M12
3282,0330-BGYZE,Male,No,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),39.69375109831881,6962.872687181587,1,M12
3313,4232-JGKIY,Male,No,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,39.69375109831881,824.4726871815865,0,M12
3355,8871-JLMHM,Female,No,Yes,No,80,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),39.69375109831881,7102.922687181586,0,M12
3412,4854-SSLTN,Male,No,Yes,Yes,14,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,39.69375109831881,935.7726871815865,1,M12
3418,4176-FXYBO,Male,No,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,39.69375109831881,6924.2226871815865,0,M12
3441,4086-ATNFV,Female,No,Yes,Yes,46,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,39.69375109831881,2847.322687181586,0,M12
