,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Period
5104,ee65a81e-6e47-11ec-ac64-acde48001122,Female,No,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),56.17344302112093,170.14220703623096,2,M12
1217,ef405112-6e47-11ec-ac64-acde48001122,Male,No,Yes,No,2,Yes,No,DSL,No internet service,No internet service,No,No internet service,No,No internet service,Month-to-month,No,Credit card (automatic),46.23135606835201,143.6502482262872,7,M12
4780,ec54823e-6e47-11ec-ac64-acde48001122,Female,No,No,No,5,Yes,No,No,Yes,No,No,No internet service,Yes,No internet service,Two year,No,Credit card (automatic),53.559003185627105,306.713834027416,4,M12
5467,ef40208e-6e47-11ec-ac64-acde48001122,Female,No,No,No,2,Yes,No,No,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Electronic check,30.324406884376018,87.51475364784656,7,M12
4376,ef142f9c-6e47-11ec-ac64-acde48001122,Female,No,No,No,2,Yes,Yes,DSL,No internet service,No,Yes,No,No,No,Month-to-month,No,Mailed check,105.6908287083156,167.1688354843231,0,M12
2056,f01ba320-6e47-11ec-ac64-acde48001122,Female,No,Yes,No,1,No,Yes,Fiber optic,No,No,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,54.39661338556683,54.39661338556683,2,M12
4872,ee6f8b40-6e47-11ec-ac64-acde48001122,Female,Yes,No,No,3,Yes,Yes,No,No internet service,No,No,No,No,No internet service,Month-to-month,No,Electronic check,113.25629137524908,266.78484452024463,9,M12
5339,ef2f1e1a-6e47-11ec-ac64-acde48001122,Male,No,No,Yes,2,No,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),60.41944552890695,173.42443873706003,3,M12
6175,ef29d310-6e47-11ec-ac64-acde48001122,Female,No,Yes,No,2,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,74.29994411683825,140.60596917890513,5,M12
6003,e952393c-6e47-11ec-ac64-acde48001122,Female,No,No,No,8,Yes,Yes,No,No,No internet service,No,No,No,No,Month-to-month,Yes,Credit card (automatic),99.08524766724103,646.3988029401711,7,M12
37,ed0675e8-6e47-11ec-ac64-acde48001122,Male,No,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),104.42312007492447,211.32763384078208,4,M12
4099,ef22f5e0-6e47-11ec-ac64-acde48001122,Male,No,Yes,Yes,2,Yes,Yes,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,No,Electronic check,55.836228460034285,162.86668238247142,6,M12
3445,ee603848-6e47-11ec-ac64-acde48001122,Male,No,No,No,3,Yes,No,DSL,No,No,No,Yes,No,No internet service,Month-to-month,Yes,Mailed check,104.73077637290719,215.4523707270523,1,M12
780,ef18aedc-6e47-11ec-ac64-acde48001122,Male,No,Yes,No,2,No,No,Fiber optic,No internet service,No,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,30.186230790195236,114.93570226361697,3,M12
1355,ef079f84-6e47-11ec-ac64-acde48001122,Male,No,Yes,Yes,2,Yes,Yes,DSL,No internet service,No internet service,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),117.63818017337802,168.8753361694313,3,M12
816,eb662e68-6e47-11ec-ac64-acde48001122,Female,No,Yes,No,6,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),114.46460860939779,425.8066676739547,1,M12
3715,ee26216c-6e47-11ec-ac64-acde48001122,Female,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,92.37681024983092,154.7244234218343,4,M12
4349,6351-SCJKT,Male,No,No,No,15,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,113.17436868134193,996.5761588223589,2,M12
565,eb791e24-6e47-11ec-ac64-acde48001122,Male,No,Yes,Yes,6,Yes,Yes,DSL,Yes,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),56.3908110659809,424.19478122554005,2,M12
3834,ea6dfc8e-6e47-11ec-ac64-acde48001122,Male,Yes,Yes,No,7,Yes,Yes,DSL,No internet service,No internet service,No,No,Yes,Yes,Two year,Yes,Electronic check,58.075389371823924,470.3552095433331,8,M12
2880,ec01614e-6e47-11ec-ac64-acde48001122,Male,No,No,No,5,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,Yes,One year,No,Mailed check,52.81236158319746,260.6235387824106,2,M12
2838,efe7b132-6e47-11ec-ac64-acde48001122,Female,No,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),43.837807730518534,43.837807730518534,3,M12
3529,ed4f7478-6e47-11ec-ac64-acde48001122,Female,No,No,No,4,No,No,No,No internet service,Yes,No,No,No,No internet service,Two year,No,Electronic check,53.28211622895418,274.32394638774224,6,M12
