,Contract,Dependents,DeviceProtection,InternetService,MultipleLines,OnlineBackup,OnlineSecurity,PaperlessBilling,Partner,PaymentMethod,PhoneService,SeniorCitizen,StreamingMovies,StreamingTV,TechSupport,gender,Churn,percent,combined,t_hash
0,Month-to-month,No,No internet service,No,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,Male,18,0.009630818619582664,Month-to-month|No|No internet service|No|No|No internet service|No internet service|No|No|Mailed check|Yes|No|No internet service|No internet service|No internet service|Male,053c2b2b4bd2383e4c2e82940617e5a60c9ebf7eefbf1f16a7db074a15bb6536
1,Month-to-month,No,No,Fiber optic,No,No,No,Yes,No,Electronic check,Yes,No,No,No,No,Male,17,0.00909577314071696,Month-to-month|No|No|Fiber optic|No|No|No|Yes|No|Electronic check|Yes|No|No|No|No|Male,2f9d70c28b882e5cd2ae683325cbea3cc98be86744eed3417de38a52ca23da96
2,Month-to-month,No,No,Fiber optic,No,No,No,Yes,No,Electronic check,Yes,No,No,No,No,Female,14,0.00749063670411985,Month-to-month|No|No|Fiber optic|No|No|No|Yes|No|Electronic check|Yes|No|No|No|No|Female,8a89dffbb4202dec0ed430fbe81788492626df43ba24f7cc7b43888390088abc
3,Month-to-month,No,No,Fiber optic,No,No,No,Yes,No,Electronic check,Yes,Yes,No,No,No,Female,14,0.00749063670411985,Month-to-month|No|No|Fiber optic|No|No|No|Yes|No|Electronic check|Yes|Yes|No|No|No|Female,b36af56b368a227267aacd00d18950737c1253f15624e9e1c90a7d375f4e0593
4,Month-to-month,No,No internet service,No,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,Female,13,0.006955591225254147,Month-to-month|No|No internet service|No|No|No internet service|No internet service|No|No|Mailed check|Yes|No|No internet service|No internet service|No internet service|Female,3a393980b9db2ea69398d02f5e0ad9a7f1d4e9e2df2c3ba6f01bd585d01eb3a5
5,Month-to-month,No,No,Fiber optic,Yes,No,No,Yes,No,Electronic check,Yes,No,No,No,No,Female,13,0.006955591225254147,Month-to-month|No|No|Fiber optic|Yes|No|No|Yes|No|Electronic check|Yes|No|No|No|No|Female,bc7069f878c5102f3cda3543de5dc12094fd8e836c0f46ddb9c61fa276326811
6,Month-to-month,No,No,Fiber optic,Yes,No,No,Yes,No,Electronic check,Yes,No,No,No,No,Male,11,0.005885500267522739,Month-to-month|No|No|Fiber optic|Yes|No|No|Yes|No|Electronic check|Yes|No|No|No|No|Male,abf311b88e1b7074506c36e85d48fc70c0210490115032a8b3a8c3690af9fd7d
7,Month-to-month,No,No,Fiber optic,Yes,No,No,Yes,No,Electronic check,Yes,Yes,No,No,No,Male,10,0.005350454788657036,Month-to-month|No|No|Fiber optic|Yes|No|No|Yes|No|Electronic check|Yes|Yes|No|No|No|Male,bf1e3f1278a663b2d97b3f25c3fb1f0344af625a525fc8fac7d2a940f74cb15c
8,Month-to-month,No,No,Fiber optic,Yes,No,No,Yes,No,Electronic check,Yes,No,Yes,No,No,Male,10,0.005350454788657036,Month-to-month|No|No|Fiber optic|Yes|No|No|Yes|No|Electronic check|Yes|No|Yes|No|No|Male,fad712764c4f3c620b7b18be4e18228951acab575843fcb6e3f6f73b44e7bedc
9,Month-to-month,No,No internet service,No,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,Male,10,0.005350454788657036,Month-to-month|No|No internet service|No|No|No internet service|No internet service|Yes|No|Mailed check|Yes|No|No internet service|No internet service|No internet service|Male,01a626cbaad27ce83beda9f9a825c2b99ea249f51090171441cc42f4df45595d
10,Month-to-month,No,No,Fiber optic,No,No,No,Yes,No,Electronic check,Yes,No,No,Yes,No,Female,10,0.005350454788657036,Month-to-month|No|No|Fiber optic|No|No|No|Yes|No|Electronic check|Yes|No|No|Yes|No|Female,2a98295be06932f0d6f5ce3e5240831346e948b9197c977bc4005e808b781732
11,Month-to-month,No,No,Fiber optic,Yes,No,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes,No,Male,10,0.005350454788657036,Month-to-month|No|No|Fiber optic|Yes|No|No|Yes|No|Electronic check|Yes|Yes|Yes|Yes|No|Male,e7b8045857e679f068b45a7a0917e0d6951e80e63c3c908c31fec76094aa72b9
12,Month-to-month,No,No,Fiber optic,No,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes,No,Male,10,0.005350454788657036,Month-to-month|No|No|Fiber optic|No|No|No|Yes|No|Electronic check|Yes|No|Yes|Yes|No|Male,9fc52a410b9ec708ee1b136222b9d73c4238b3f3df0556812b80b110d1591712
13,Month-to-month,No,No,Fiber optic,No,No,No,Yes,No,Electronic check,Yes,No,No,Yes,No,Male,9,0.004815409309791332,Month-to-month|No|No|Fiber optic|No|No|No|Yes|No|Electronic check|Yes|No|No|Yes|No|Male,9ba8a145ba09a5a0d449f37f672f0fd32e426ba0708642111ca281e4ba8de023
14,Month-to-month,No,Yes,Fiber optic,Yes,No,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes,No,Male,9,0.004815409309791332,Month-to-month|No|Yes|Fiber optic|Yes|No|No|Yes|No|Electronic check|Yes|Yes|Yes|Yes|No|Male,3bf832cece18918eca763d5c193e4f8c9f349e0c1dba0719441ee9ae16141093
15,Month-to-month,No,No,Fiber optic,Yes,No,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes,No,Female,8,0.004280363830925628,Month-to-month|No|No|Fiber optic|Yes|No|No|Yes|No|Electronic check|Yes|Yes|Yes|Yes|No|Female,d8e6f5eb75b31697dff5e21a8bcec97f4f756896c8d739a7c3b6902715a8efcd
16,Month-to-month,No,No internet service,No,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,Female,8,0.004280363830925628,Month-to-month|No|No internet service|No|No|No internet service|No internet service|Yes|No|Mailed check|Yes|No|No internet service|No internet service|No internet service|Female,fd165f85aaf5586734a132095bd98a7885a88d7a0e59e7c6b9bd94ab699d4f3a
17,Month-to-month,No,Yes,Fiber optic,Yes,No,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,No,Male,8,0.004280363830925628,Month-to-month|No|Yes|Fiber optic|Yes|No|No|Yes|Yes|Electronic check|Yes|Yes|Yes|Yes|No|Male,351b07995fd2691f8b0a50092df95aeec2e4728f3e6ad1364cde555c666d087f
18,Month-to-month,No,No,Fiber optic,Yes,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes,No,Female,8,0.004280363830925628,Month-to-month|No|No|Fiber optic|Yes|No|No|Yes|No|Electronic check|Yes|No|Yes|Yes|No|Female,fe67d470b9ea9866272800d6ac83b40c77351eead56d6b3794905afbe3ad28ad
19,Month-to-month,No,No,Fiber optic,Yes,No,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,No,Male,7,0.003745318352059925,Month-to-month|No|No|Fiber optic|Yes|No|No|Yes|Yes|Electronic check|Yes|Yes|Yes|Yes|No|Male,f58c6cc62bdfaecff5f08c73fe5a195b9ab5cc0df385c8ab6bd9b22d3c9fbadd
