PaymentMethod,OnlineSecurity,DeviceProtection,MultipleLines,Partner,SeniorCitizen,Contract,PhoneService,tenure_bins,InternetService,Dependents,TechSupport,PaperlessBilling,gender,StreamingTV,OnlineBackup,monthly_charges_bins,StreamingMovies,customerID,Churn
Mailed check,Yes,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,No,Yes,Male,No,No,"(48.4, 58.45]",No,e7e51898-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,Yes,No,"(88.6, 98.65]",Yes,e8121532-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No internet service,No internet service,No,Yes,No,One year,Yes,"(21.6, 28.8]",No,Yes,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f790ed1c-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,Yes,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,Yes,No,Yes,Male,Yes,No,"(88.6, 98.65]",Yes,ed44b5be-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No internet service,No internet service,No,Yes,No,One year,Yes,"(21.6, 28.8]",No,No,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f7944d54-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,No,Yes,No,Two year,Yes,"(57.6, 64.8]",DSL,Yes,Yes,No,Male,Yes,Yes,"(68.5, 78.55]",No,f88b3600-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Two year,Yes,"(7.2, 14.4]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e8470134-773a-11ec-b2a1-acde48001122,0
Electronic check,No internet service,No internet service,Yes,No,No,Two year,Yes,"(64.8, 72.0]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,ea0a526e-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,No,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,No,No,Male,No,No,"(48.4, 58.45]",No,ecf39594-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,No,Yes,No,One year,Yes,"(28.8, 36.0]",Fiber optic,Yes,No,Yes,Female,Yes,No,"(88.6, 98.65]",Yes,ecc18d24-773a-11ec-b2a1-acde48001122,1
Mailed check,No,No,No,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,e91368b4-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,Yes,No,No,Month-to-month,Yes,"(7.2, 14.4]",Fiber optic,No,No,Yes,Female,Yes,No,"(88.6, 98.65]",Yes,e990db14-773a-11ec-b2a1-acde48001122,1
Electronic check,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"(64.8, 72.0]",Fiber optic,No,No,No,Female,No,Yes,"(88.6, 98.65]",Yes,f0aab9e2-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,No,Yes,Yes,No,One year,Yes,"(50.4, 57.6]",Fiber optic,No,No,Yes,Male,No,Yes,"(88.6, 98.65]",Yes,fc3d4388-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,Yes,Yes,Male,No,No,"(48.4, 58.45]",No,e82a3a22-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,No,No,Month-to-month,Yes,"(36.0, 43.2]",Fiber optic,No,No,Yes,Male,Yes,Yes,"(88.6, 98.65]",No,ebcfdf7e-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,No,No,No,Month-to-month,Yes,"(21.6, 28.8]",DSL,No,No,No,Female,No,No,"(48.4, 58.45]",No,fb9199f2-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,Yes,No,No,Yes,Month-to-month,Yes,"(7.2, 14.4]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,f7c817c4-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No internet service,No internet service,No,Yes,No,Two year,Yes,"(28.8, 36.0]",No,Yes,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e92f4034-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No internet service,No internet service,No,No,No,One year,Yes,"(21.6, 28.8]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e8a097c6-773a-11ec-b2a1-acde48001122,0
Electronic check,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,"(43.2, 50.4]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e9d8a52a-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,No,No phone service,Yes,No,Month-to-month,No,"(14.4, 21.6]",DSL,Yes,No,Yes,Male,No,Yes,"(28.3, 38.35]",No,f00b2e90-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,No,No phone service,Yes,No,Month-to-month,No,"(-0.073, 7.2]",DSL,Yes,Yes,No,Female,No,No,"(28.3, 38.35]",No,f0208c36-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,No,No phone service,No,No,Month-to-month,No,"(14.4, 21.6]",DSL,No,No,Yes,Female,Yes,No,"(38.35, 48.4]",No,f17cf90c-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,Yes,No,No,Month-to-month,Yes,"(43.2, 50.4]",DSL,No,No,Yes,Female,No,No,"(48.4, 58.45]",No,ee7519f6-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,No,No,No,One year,Yes,"(28.8, 36.0]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e88de8d8-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,Yes,No,No,No,Two year,Yes,"(50.4, 57.6]",Fiber optic,No,Yes,No,Female,No,Yes,"(98.65, 108.7]",Yes,ef341d60-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,No,No,No,No,One year,Yes,"(21.6, 28.8]",DSL,No,No,Yes,Male,Yes,No,"(58.45, 68.5]",Yes,f68434d8-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,"(57.6, 64.8]",Fiber optic,No,Yes,Yes,Male,Yes,Yes,"(98.65, 108.7]",No,f254f67c-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),Yes,No,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",DSL,Yes,Yes,Yes,Female,Yes,Yes,"(78.55, 88.6]",Yes,f373e63a-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,No,Yes,Month-to-month,Yes,"(21.6, 28.8]",Fiber optic,No,No,Yes,Male,Yes,Yes,"(88.6, 98.65]",No,e8ce558a-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),No,No,Yes,Yes,No,Month-to-month,Yes,"(43.2, 50.4]",DSL,No,No,Yes,Female,No,No,"(48.4, 58.45]",No,fcc5db44-773a-11ec-b2a1-acde48001122,0
Mailed check,No,Yes,Yes,No,No,One year,Yes,"(36.0, 43.2]",DSL,No,Yes,Yes,Female,Yes,No,"(78.55, 88.6]",Yes,eea53744-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,One year,Yes,"(14.4, 21.6]",No,No,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e814c3fe-773a-11ec-b2a1-acde48001122,0
Electronic check,No internet service,No internet service,No,Yes,No,Two year,Yes,"(64.8, 72.0]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e8b18a22-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,No phone service,No,No,Month-to-month,No,"(36.0, 43.2]",DSL,No,No,Yes,Female,Yes,No,"(48.4, 58.45]",Yes,ea2fe222-773a-11ec-b2a1-acde48001122,1
Mailed check,No,No,No,Yes,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,Yes,No,Yes,Female,No,No,"(68.5, 78.55]",No,f18c3ed0-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(50.4, 57.6]",Fiber optic,No,Yes,Yes,Male,No,No,"(88.6, 98.65]",No,fae866d4-773a-11ec-b2a1-acde48001122,0
