,customerID,tenure,Churn,bucket
1340,1371-DWPAZ,0,0,One to 10 days
936,5709-LVOEQ,0,0,One to 10 days
6670,4075-WKNIU,0,0,One to 10 days
4380,2520-SGTTA,0,0,One to 10 days
5218,2923-ARZLG,0,0,One to 10 days
3826,3213-VVOLG,0,0,One to 10 days
753,3115-CZMZD,0,0,One to 10 days
6754,2775-SEFEE,0,0,One to 10 days
3331,7644-OMVMY,0,0,One to 10 days
488,4472-LVYGI,0,0,One to 10 days
1082,4367-NUYAO,0,0,One to 10 days
4275,2692-PFYTJ,1,0,One to 10 days
6623,9248-OJYKK,1,1,One to 10 days
6620,6457-USBER,1,1,One to 10 days
1373,4291-HPAXL,1,0,One to 10 days
1371,6567-HOOPW,1,1,One to 10 days
4290,7734-DBOAI,1,1,One to 10 days
5724,8042-JVNFH,1,1,One to 10 days
1383,3334-CTHOL,1,1,One to 10 days
0,7590-VHVEG,1,0,One to 10 days
6633,4415-IJZTP,1,1,One to 10 days
6612,1062-LHZOD,1,1,One to 10 days
4242,6124-ACRHJ,1,0,One to 10 days
6609,1000-AJSLD,1,1,One to 10 days
6607,7242-QZLXF,1,1,One to 10 days
4236,2542-HYGIQ,1,0,One to 10 days
1428,7767-UXAGJ,1,1,One to 10 days
4232,3066-RRJIO,1,1,One to 10 days
5736,8749-CLJXC,1,0,One to 10 days
4228,6416-TVAIH,1,1,One to 10 days
5738,5049-GLYVG,1,1,One to 10 days
1446,8445-DNBAE,1,0,One to 10 days
4221,7926-IJOOU,1,0,One to 10 days
1393,2592-YKDIF,1,0,One to 10 days
1405,6960-HVYXR,1,1,One to 10 days
1338,1934-SJVJK,1,1,One to 10 days
1458,7893-IXHRQ,1,1,One to 10 days
1205,6358-LYNGM,1,1,One to 10 days
1208,5494-HECPR,1,1,One to 10 days
5680,6982-UQZLY,1,1,One to 10 days
5682,3841-CONLJ,1,0,One to 10 days
1224,3165-HDOEW,1,1,One to 10 days
4396,0023-HGHWL,1,1,One to 10 days
4392,3373-YZZYM,1,0,One to 10 days
1243,5552-ZNFSJ,1,1,One to 10 days
4387,5868-YTYKS,1,0,One to 10 days
1249,2833-SLKDQ,1,1,One to 10 days
1251,7595-EUIVN,1,1,One to 10 days
1252,7617-EYGLW,1,0,One to 10 days
4372,4781-ZXYGU,1,0,One to 10 days
4315,9019-QVLZD,1,1,One to 10 days
6663,0674-EYYZV,1,0,One to 10 days
4353,6996-KNSML,1,1,One to 10 days
1282,6260-ONULR,1,0,One to 10 days
4349,7903-CMPEY,1,1,One to 10 days
1286,8985-OOPOS,1,0,One to 10 days
4348,6121-VZNQB,1,1,One to 10 days
5705,3785-NRHYR,1,0,One to 10 days
5706,5196-SGOAK,1,1,One to 10 days
1319,1725-MIMXW,1,1,One to 10 days
1325,7206-GZCDC,1,1,One to 10 days
4326,1455-ESIQH,1,1,One to 10 days
4325,2700-LUEVA,1,0,One to 10 days
1331,7537-RBWEA,1,0,One to 10 days
1334,1768-ZAIFU,1,1,One to 10 days
6660,1447-GIQMR,1,1,One to 10 days
4212,5797-APWZC,1,1,One to 10 days
4185,8620-RJPZN,1,0,One to 10 days
5678,4797-AXPXK,1,1,One to 10 days
1670,5047-LHVLY,1,1,One to 10 days
6536,3439-GVUSX,1,0,One to 10 days
5812,3422-LYEPQ,1,1,One to 10 days
1694,0375-HVGXO,1,1,One to 10 days
4021,4255-DDUOU,1,1,One to 10 days
4016,7754-IXRMC,1,0,One to 10 days
1704,0107-YHINA,1,1,One to 10 days
4012,6689-KXGBO,1,1,One to 10 days
4010,3727-JEZTU,1,0,One to 10 days
5817,4361-JEIVL,1,1,One to 10 days
4005,2565-JSLRY,1,1,One to 10 days
5825,1363-TXLSL,1,1,One to 10 days
5826,9507-EXLTT,1,1,One to 10 days
1654,2967-MXRAV,1,0,One to 10 days
1730,3877-JRJIP,1,1,One to 10 days
6518,1963-SVUCV,1,1,One to 10 days
1733,1015-OWJKI,1,0,One to 10 days
1736,7551-JOHTI,1,1,One to 10 days
6516,6876-ADESB,1,1,One to 10 days
1739,9804-ICWBG,1,1,One to 10 days
3983,1334-FJSVR,1,1,One to 10 days
6509,0616-ATFGB,1,1,One to 10 days
3969,2920-RNCEZ,1,0,One to 10 days
6499,2676-ISHSF,1,0,One to 10 days
1774,5207-PLSTK,1,0,One to 10 days
6498,0742-NXBGR,1,1,One to 10 days
6495,7254-IQWOZ,1,1,One to 10 days
1783,8380-PEFPE,1,1,One to 10 days
1731,8375-DKEBR,1,1,One to 10 days
1651,8580-AECUZ,1,1,One to 10 days
1650,3049-NDXFL,1,1,One to 10 days
4062,1915-IOFGU,1,1,One to 10 days
1488,8695-WDYEA,1,0,One to 10 days
1491,8605-ITULD,1,0,One to 10 days
5759,9985-MWVIX,1,1,One to 10 days
1505,5240-IJOQT,1,1,One to 10 days
6590,1031-IIDEO,1,1,One to 10 days
4172,1905-OEILC,1,0,One to 10 days
1513,0661-XEYAN,1,1,One to 10 days
4156,2465-BLLEU,1,0,One to 10 days
5778,3090-QFUVD,1,0,One to 10 days
4138,5597-GLBUC,1,1,One to 10 days
1549,4237-RLAQD,1,1,One to 10 days
4131,2876-VBBBL,1,1,One to 10 days
1556,3186-BAXNB,1,1,One to 10 days
5782,4871-JTKJF,1,1,One to 10 days
1561,1157-BQCUW,1,1,One to 10 days
5783,1415-YFWLT,1,1,One to 10 days
1571,2812-SFXMJ,1,0,One to 10 days
4098,5356-RHIPP,1,1,One to 10 days
1600,3068-OMWZA,1,1,One to 10 days
4094,8687-BAFGU,1,0,One to 10 days
4092,0670-KDOMA,1,0,One to 10 days
4090,1453-RZFON,1,0,One to 10 days
6554,2856-HYAPG,1,1,One to 10 days
4084,2777-PHDEI,1,1,One to 10 days
4081,7665-TOALD,1,1,One to 10 days
1633,1478-VPOAD,1,0,One to 10 days
6549,5909-ECHUI,1,1,One to 10 days
4065,7239-HZZCX,1,1,One to 10 days
4064,0374-AACSZ,1,0,One to 10 days
1465,1866-OBPNR,1,0,One to 10 days
4417,0515-YPMCW,1,1,One to 10 days
1173,0107-WESLM,1,1,One to 10 days
1185,5673-FSSMF,1,1,One to 10 days
685,1536-HBSWP,1,0,One to 10 days
5561,5088-QZLRL,1,0,One to 10 days
4800,9300-AGZNL,1,1,One to 10 days
690,8262-COGGB,1,0,One to 10 days
695,2480-JZOSN,1,0,One to 10 days
4789,0511-JTEOY,1,1,One to 10 days
4784,1622-HSHSF,1,0,One to 10 days
710,1029-QFBEN,1,1,One to 10 days
4767,1064-FBXNK,1,0,One to 10 days
5573,5550-VFRLC,1,1,One to 10 days
5576,4929-BSTRX,1,1,One to 10 days
4759,8740-CRYFY,1,1,One to 10 days
4757,1582-RAFML,1,1,One to 10 days
684,8040-MNRTF,1,0,One to 10 days
6816,2446-PLQVO,1,1,One to 10 days
6811,8992-JQYUN,1,1,One to 10 days
772,3900-AQPHZ,1,1,One to 10 days
5585,4667-OHGKG,1,1,One to 10 days
4725,1541-ETJZO,1,1,One to 10 days
4723,4274-OWWYO,1,1,One to 10 days
783,4678-DVQEO,1,1,One to 10 days
5588,1660-HSOOQ,1,1,One to 10 days
4721,4211-MMAZN,1,1,One to 10 days
4706,6595-COKXZ,1,1,One to 10 days
798,3807-XHCJH,1,0,One to 10 days
4704,1928-BXYIV,1,0,One to 10 days
809,1820-TQVEV,1,1,One to 10 days
6789,7839-QRKXN,1,1,One to 10 days
760,4013-GUXND,1,0,One to 10 days
837,6982-SSHFK,1,1,One to 10 days
680,1448-PWKYE,1,1,One to 10 days
6840,1724-IQWNM,1,0,One to 10 days
4930,8180-AKMJV,1,0,One to 10 days
534,9282-IZGQK,1,1,One to 10 days
4924,5378-IKEEG,1,1,One to 10 days
542,2866-IKBTM,1,0,One to 10 days
5519,2043-WVTQJ,1,0,One to 10 days
5522,2619-WFQWU,1,1,One to 10 days
556,2654-VBVPB,1,0,One to 10 days
4901,3765-JXVKY,1,1,One to 10 days
559,3716-UVSPD,1,0,One to 10 days
6877,4501-EQDRN,1,1,One to 10 days
581,3627-FHKBK,1,1,One to 10 days
583,1423-BMPBQ,1,0,One to 10 days
585,5192-EBGOV,1,1,One to 10 days
4809,7814-LEEVE,1,0,One to 10 days
6866,0295-PPHDO,1,1,One to 10 days
5538,4614-NUVZD,1,1,One to 10 days
5540,3803-KMQFW,1,1,One to 10 days
4837,5134-IKDAY,1,1,One to 10 days
6846,6618-RYATB,1,1,One to 10 days
6845,6127-IYJOZ,1,0,One to 10 days
642,0970-ETWGE,1,1,One to 10 days
646,0887-HJGAR,1,1,One to 10 days
651,2024-BASKD,1,1,One to 10 days
4823,9732-KPKBW,1,1,One to 10 days
5553,6629-CZTTH,1,1,One to 10 days
662,3030-ZKIWL,1,0,One to 10 days
4817,6654-QGBZZ,1,0,One to 10 days
672,3276-HDUEG,1,1,One to 10 days
594,9244-ZVAPM,1,0,One to 10 days
4424,4729-XKASR,1,1,One to 10 days
844,3027-ZTDHO,1,1,One to 10 days
6774,0970-QXPXW,1,0,One to 10 days
4540,6728-WYQBC,1,0,One to 10 days
5646,5510-BOIUJ,1,1,One to 10 days
4536,3428-XZMAZ,1,1,One to 10 days
1049,8329-IBCTI,1,1,One to 10 days
4534,2607-FBDFF,1,0,One to 10 days
4520,3506-LCJDC,1,1,One to 10 days
5652,9752-ZNQUT,1,0,One to 10 days
1074,2111-DWYHN,1,0,One to 10 days
4509,2013-SGDXK,1,1,One to 10 days
5656,7312-XSBAT,1,0,One to 10 days
4495,4702-IOQDC,1,1,One to 10 days
1095,7439-DKZTW,1,0,One to 10 days
4491,7853-WNZSY,1,0,One to 10 days
4541,9058-CBREO,1,1,One to 10 days
6706,7878-RTCZG,1,0,One to 10 days
4484,7465-ZZRVX,1,0,One to 10 days
4480,7908-QCBCA,1,1,One to 10 days
4476,7434-SHXLS,1,1,One to 10 days
4463,4603-JANFB,1,1,One to 10 days
4459,3178-FESZO,1,1,One to 10 days
1144,0841-NULXI,1,1,One to 10 days
4455,8280-MQRQN,1,1,One to 10 days
1151,8992-CEUEN,1,0,One to 10 days
1161,5868-CZJDR,1,1,One to 10 days
4443,2672-OJQZP,1,0,One to 10 days
1168,5562-BETPV,1,0,One to 10 days
6491,9728-FTTVZ,1,1,One to 10 days
5676,9103-CXVOK,1,0,One to 10 days
5662,3244-DCJWY,1,1,One to 10 days
5603,1794-HBQTJ,1,1,One to 10 days
4544,0318-QUUOB,1,1,One to 10 days
5644,9444-JTXHZ,1,1,One to 10 days
857,2207-NHRJK,1,1,One to 10 days
6764,7660-HDPJV,1,1,One to 10 days
4646,5032-MIYKT,1,0,One to 10 days
6761,2369-FEVNO,1,0,One to 10 days
4641,9895-VFOXH,1,0,One to 10 days
885,4661-NJEUX,1,0,One to 10 days
4640,1853-UDXBW,1,1,One to 10 days
4632,4760-XOHVN,1,1,One to 10 days
893,9227-LUNBG,1,1,One to 10 days
5615,1493-AMTIE,1,1,One to 10 days
915,6513-EECDB,1,1,One to 10 days
6748,6230-BSUXY,1,1,One to 10 days
4607,2853-CWQFQ,1,0,One to 10 days
4545,6145-NNPNO,1,0,One to 10 days
955,9448-REEVD,1,1,One to 10 days
4585,1069-XAIEM,1,1,One to 10 days
970,7294-TMAOP,1,1,One to 10 days
5629,5028-HTLJB,1,1,One to 10 days
976,5875-YPQFJ,1,1,One to 10 days
6738,3590-TCXTB,1,0,One to 10 days
5634,2320-JRSDE,1,1,One to 10 days
983,8603-IJWDN,1,1,One to 10 days
987,3717-OFRTN,1,0,One to 10 days
5638,5143-WMWOG,1,1,One to 10 days
5640,5393-RXQSZ,1,1,One to 10 days
4564,4877-EVATK,1,1,One to 10 days
1013,4065-JJAVA,1,0,One to 10 days
5643,0231-LXVAP,1,1,One to 10 days
964,9117-SHLZX,1,1,One to 10 days
3943,8720-RQSBJ,1,0,One to 10 days
3942,6959-UWKHF,1,1,One to 10 days
5514,0623-GDISB,1,0,One to 10 days
2517,5186-SAMNZ,1,1,One to 10 days
2526,5766-ZJYBB,1,1,One to 10 days
3332,7593-XFKDI,1,1,One to 10 days
6257,1977-STDKI,1,1,One to 10 days
6256,3751-KTZEL,1,1,One to 10 days
3328,1640-PLFMP,1,0,One to 10 days
6251,9374-YOLBJ,1,0,One to 10 days
3324,5043-TRZWM,1,0,One to 10 days
3313,4232-JGKIY,1,0,One to 10 days
3312,9122-UMROB,1,0,One to 10 days
3310,9885-CSMWE,1,1,One to 10 days
6240,6521-YYTYI,1,1,One to 10 days
6237,7153-OANIO,1,1,One to 10 days
3350,7663-RGWBC,1,1,One to 10 days
3301,2636-ALXXZ,1,1,One to 10 days
3294,1086-LXKFY,1,1,One to 10 days
2577,4910-GMJOT,1,1,One to 10 days
6231,3296-SILRA,1,1,One to 10 days
6230,9962-BFPDU,1,0,One to 10 days
3272,6772-KSATR,1,1,One to 10 days
2600,2262-SLNVK,1,0,One to 10 days
6219,1496-GGSUK,1,1,One to 10 days
2607,5539-TMZLF,1,1,One to 10 days
2613,0137-OCGAB,1,1,One to 10 days
2617,4588-YBNIB,1,1,One to 10 days
3258,7365-BVCJH,1,0,One to 10 days
2628,2792-LSHWX,1,0,One to 10 days
2634,6877-TJMBR,1,1,One to 10 days
2573,4074-SJFFA,1,1,One to 10 days
3241,3148-BLQJT,1,1,One to 10 days
3352,9124-LHCJQ,1,1,One to 10 days
6267,0328-GRPMV,1,1,One to 10 days
6317,7493-TPUWZ,1,1,One to 10 days
5961,2049-BAFNW,1,0,One to 10 days
2361,5103-MHMHY,1,1,One to 10 days
2363,4373-VVHQL,1,0,One to 10 days
2366,1846-XWOQN,1,1,One to 10 days
2367,0235-KGSLC,1,1,One to 10 days
2371,2712-SYWAY,1,0,One to 10 days
3468,0247-SLUJI,1,0,One to 10 days
3457,8566-YPRGL,1,0,One to 10 days
3455,7274-RTAPZ,1,1,One to 10 days
2388,9822-OAOVB,1,0,One to 10 days
3452,8950-MTZNV,1,0,One to 10 days
6294,6615-ZGEDR,1,1,One to 10 days
2510,3707-GNWHM,1,1,One to 10 days
2397,3722-WPXTK,1,1,One to 10 days
2422,9603-OAIHC,1,0,One to 10 days
3423,2947-DOMLJ,1,1,One to 10 days
2427,7854-FOKSF,1,1,One to 10 days
5987,1099-GODLO,1,0,One to 10 days
2462,2585-KTFRE,1,0,One to 10 days
2464,2609-IAICY,1,1,One to 10 days
2465,1740-CSDJP,1,1,One to 10 days
3389,9617-INGJY,1,0,One to 10 days
3380,5178-LMXOP,1,1,One to 10 days
3376,9629-NHXFW,1,0,One to 10 days
3362,3658-KIBGF,1,1,One to 10 days
3357,3891-PUQOD,1,1,One to 10 days
6001,4367-NHWMM,1,0,One to 10 days
3426,4510-HIMLV,1,1,One to 10 days
2645,8562-GHPPI,1,0,One to 10 days
2652,4727-MCYZG,1,0,One to 10 days
2654,2725-KXXWT,1,1,One to 10 days
2861,2004-OCQXK,1,1,One to 10 days
2863,4146-SVFUD,1,0,One to 10 days
3065,5133-POWUA,1,0,One to 10 days
6074,3797-VTIDR,1,1,One to 10 days
2887,5696-QURRL,1,1,One to 10 days
2888,7409-KIUTL,1,1,One to 10 days
2891,0495-RVCBF,1,1,One to 10 days
2892,2668-TZSPS,1,0,One to 10 days
3044,5692-FPTAH,1,1,One to 10 days
2900,0679-IDSTG,1,1,One to 10 days
3041,1406-PUQVY,1,0,One to 10 days
6080,9526-BIHHD,1,1,One to 10 days
6081,8757-TFHHJ,1,0,One to 10 days
2856,2740-TVLFN,1,0,One to 10 days
2911,9747-DDZOS,1,1,One to 10 days
3030,1761-AEZZR,1,1,One to 10 days
2927,5542-TBBWB,1,0,One to 10 days
6088,3063-QFSZL,1,1,One to 10 days
6089,8775-LHDJH,1,1,One to 10 days
3009,8896-BQTTI,1,0,One to 10 days
3004,3801-HMYNL,1,1,One to 10 days
2958,2576-HXMPA,1,0,One to 10 days
2995,2209-XADXF,1,0,One to 10 days
2993,2239-CFOUJ,1,0,One to 10 days
6107,6286-SUUWT,1,0,One to 10 days
2989,3308-MHOOC,1,0,One to 10 days
2977,5906-BFOZT,1,0,One to 10 days
6096,9605-WGJVW,1,0,One to 10 days
3034,7120-RFMVS,1,1,One to 10 days
6064,7568-PODML,1,1,One to 10 days
3090,2386-LAHRK,1,1,One to 10 days
2837,2002-MZHWP,1,1,One to 10 days
2668,6849-WLEYG,1,1,One to 10 days
3216,7250-EQKIY,1,1,One to 10 days
6190,2867-UIMSS,1,1,One to 10 days
3209,8149-RSOUN,1,1,One to 10 days
3202,5501-TVMGM,1,0,One to 10 days
2702,1942-OQFRW,1,0,One to 10 days
2703,4749-VFKVB,1,1,One to 10 days
6040,0519-XUZJU,1,1,One to 10 days
2713,5996-DAOQL,1,0,One to 10 days
3185,9907-SWKKF,1,1,One to 10 days
2733,3518-PZXZQ,1,0,One to 10 days
2740,0415-MOSGF,1,1,One to 10 days
6170,2220-IAHLS,1,0,One to 10 days
2745,4826-XTSOH,1,1,One to 10 days
2753,6857-VWJDT,1,1,One to 10 days
2756,5624-BQSSA,1,1,One to 10 days
6169,4847-QNOKA,1,1,One to 10 days
2759,1194-SPVSP,1,0,One to 10 days
6168,2868-MZAGQ,1,1,One to 10 days
3142,4892-VLANZ,1,1,One to 10 days
3138,5077-DXTCG,1,1,One to 10 days
3132,2468-SJFLM,1,0,One to 10 days
3110,6569-KTMDU,1,0,One to 10 days
2821,4102-OQUPX,1,1,One to 10 days
3103,9174-FKWZE,1,1,One to 10 days
2827,1845-ZLLIG,1,0,One to 10 days
2828,8559-WNQZS,1,0,One to 10 days
6149,3069-SSVSN,1,0,One to 10 days
3092,6032-IGALN,1,1,One to 10 days
3495,4988-IQIGL,1,1,One to 10 days
1800,6650-VJONK,1,0,One to 10 days
3499,0426-TIRNE,1,1,One to 10 days
5953,6888-SBYAI,1,0,One to 10 days
3843,0812-WUPTB,1,1,One to 10 days
1929,2018-QKYGT,1,0,One to 10 days
1932,3247-MHJKM,1,0,One to 10 days
5872,4550-EVXNY,1,1,One to 10 days
1938,7243-LCGGZ,1,0,One to 10 days
1939,8267-KFGYD,1,0,One to 10 days
1943,7442-YGZFK,1,0,One to 10 days
6449,7601-WFVZV,1,0,One to 10 days
1953,5054-IEXZT,1,1,One to 10 days
1954,5834-ASPWA,1,1,One to 10 days
5876,4844-JJWUY,1,1,One to 10 days
3821,1833-VGRUM,1,1,One to 10 days
3810,2903-YYTBW,1,0,One to 10 days
3852,7291-CDTMJ,1,0,One to 10 days
1976,9497-QCMMS,1,1,One to 10 days
3805,8644-XLFBW,1,1,One to 10 days
3802,7698-YFGEZ,1,0,One to 10 days
6434,6608-QQLVK,1,1,One to 10 days
1993,9828-AOQLM,1,1,One to 10 days
1995,8000-REIQB,1,1,One to 10 days
3773,8260-NGFNY,1,1,One to 10 days
2018,7065-YUNRY,1,1,One to 10 days
3772,0684-AOSIH,1,1,One to 10 days
3771,5960-WPXQM,1,1,One to 10 days
3766,4201-JMNGR,1,1,One to 10 days
2033,8305-VHZBZ,1,1,One to 10 days
2036,8775-ERLNB,1,0,One to 10 days
2037,8309-IEYJD,1,0,One to 10 days
6438,3551-HUAZH,1,1,One to 10 days
3758,8885-QSQBX,1,0,One to 10 days
1919,3946-MHCZW,1,1,One to 10 days
3865,5701-SVCWR,1,0,One to 10 days
3939,8945-GRKHX,1,1,One to 10 days
1807,6910-HADCM,1,1,One to 10 days
6489,9318-NKNFC,1,1,One to 10 days
1813,0817-HSUSE,1,0,One to 10 days
6488,0488-GSLFR,1,1,One to 10 days
1816,1663-MHLHE,1,0,One to 10 days
6482,5419-JPRRN,1,1,One to 10 days
3923,5275-SQEIZ,1,1,One to 10 days
1833,8286-AFUYI,1,0,One to 10 days
1834,8080-DDEMJ,1,1,One to 10 days
1835,8356-WUAOJ,1,0,One to 10 days
1837,1349-WXNGG,1,1,One to 10 days
6479,4351-QLCSU,1,1,One to 10 days
5868,9214-EKVXR,1,0,One to 10 days
3917,3871-IKPYH,1,1,One to 10 days
1853,1612-EOHDH,1,1,One to 10 days
1854,6702-OHFWR,1,1,One to 10 days
6473,9223-UCPVT,1,1,One to 10 days
1861,7054-LGEQW,1,1,One to 10 days
3906,6372-RFVNS,1,1,One to 10 days
3902,5999-LCXAO,1,0,One to 10 days
1868,3961-SXAXY,1,0,One to 10 days
1870,3566-HJGPK,1,0,One to 10 days
1879,3494-JCHRQ,1,1,One to 10 days
3888,6086-ESGRL,1,1,One to 10 days
1890,6770-XUAGN,1,1,One to 10 days
1891,4193-ORFCL,1,1,One to 10 days
3879,7359-PTSXY,1,1,One to 10 days
1852,3669-OYSJI,1,1,One to 10 days
3756,9136-ALYBR,1,1,One to 10 days
2046,2538-OIMXF,1,0,One to 10 days
3754,7096-UCLNH,1,0,One to 10 days
6377,7851-FLGGQ,1,1,One to 10 days
6375,9894-EZEWG,1,1,One to 10 days
2191,3988-RQIXO,1,1,One to 10 days
2194,2514-GINMM,1,1,One to 10 days
3598,6185-TASNN,1,0,One to 10 days
2208,7216-EWTRS,1,1,One to 10 days
6360,8073-IJDCM,1,1,One to 10 days
3592,6128-CZOMY,1,1,One to 10 days
2238,1393-IMKZG,1,0,One to 10 days
3574,4634-JLRJT,1,0,One to 10 days
3565,4317-VTEOA,1,1,One to 10 days
2246,7181-BQYBV,1,1,One to 10 days
