PaperlessBilling,tenure_bins,StreamingTV,DeviceProtection,Dependents,PaymentMethod,gender,Partner,SeniorCitizen,TechSupport,PhoneService,OnlineBackup,Contract,InternetService,OnlineSecurity,MultipleLines,StreamingMovies,monthly_charges_bins,original_customer_count,original_churn_sum,original_churn_ratio,original_customer_ratio,new_customer_count,new_churn_count,new_customer_count_rounded,new_churn_count_rounded,new_customer_totals
No,"(-0.073, 7.2]",No internet service,No internet service,No,Mailed check,Male,No,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",64,17,0.265625,0.009087036774101945,62.70055374130342,16.65483458753372,63.0,17.0,62.0
No,"(-0.073, 7.2]",No internet service,No internet service,No,Mailed check,Female,No,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",51,13,0.2549019607843137,0.007241232429362488,49.96450376260116,12.736049978702257,50.0,13.0,49.0
Yes,"(-0.073, 7.2]",No internet service,No internet service,No,Mailed check,Male,No,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",24,8,0.3333333333333333,0.0034076387902882295,23.512707652988784,7.837569217662928,24.0,8.0,23.0
Yes,"(-0.073, 7.2]",No,No,No,Electronic check,Male,No,No,No,Yes,No,Month-to-month,Fiber optic,No,No,No,"(68.5, 78.55]",21,15,0.7142857142857143,0.0029816839415022006,20.573619196365183,14.695442283117988,21.0,15.0,20.0
Yes,"(-0.073, 7.2]",No internet service,No internet service,No,Mailed check,Female,No,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",20,8,0.4,0.0028396989919068577,19.593923044157318,7.837569217662928,20.0,8.0,19.0
Yes,"(-0.073, 7.2]",No,No,No,Electronic check,Female,No,No,No,Yes,No,Month-to-month,Fiber optic,No,No,No,"(68.5, 78.55]",19,13,0.6842105263157895,0.002697714042311515,18.614226891949453,12.736049978702258,19.0,13.0,18.0
Yes,"(-0.073, 7.2]",No,No,No,Electronic check,Female,No,Yes,No,Yes,No,Month-to-month,Fiber optic,No,No,No,"(68.5, 78.55]",16,14,0.875,0.0022717591935254864,15.675138435325856,13.715746130910123,16.0,14.0,15.0
No,"(-0.073, 7.2]",No internet service,No internet service,Yes,Mailed check,Male,No,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",14,2,0.14285714285714285,0.0019877892943348007,13.715746130910125,1.959392304415732,14.0,2.0,13.0
Yes,"(-0.073, 7.2]",No,No,No,Electronic check,Female,No,No,No,Yes,No,Month-to-month,Fiber optic,No,Yes,No,"(68.5, 78.55]",13,10,0.7692307692307693,0.0018458043447394576,12.736049978702258,9.79696152207866,13.0,10.0,12.0
Yes,"(-0.073, 7.2]",No,No,No,Mailed check,Male,No,No,No,Yes,No,Month-to-month,DSL,No,No,No,"(38.35, 48.4]",11,6,0.5454545454545454,0.001561834445548772,10.776657674286525,5.878176913247195,11.0,6.0,10.0
Yes,"(-0.073, 7.2]",No,No,No,Electronic check,Male,No,No,No,Yes,No,Month-to-month,Fiber optic,No,Yes,No,"(68.5, 78.55]",11,10,0.9090909090909091,0.001561834445548772,10.776657674286525,9.796961522078659,11.0,10.0,10.0
No,"(64.8, 72.0]",No internet service,No internet service,Yes,Bank transfer (automatic),Female,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",11,0,0.0,0.001561834445548772,10.776657674286525,0.0,11.0,0.0,10.0
No,"(-0.073, 7.2]",No internet service,No internet service,Yes,Mailed check,Female,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",11,3,0.2727272727272727,0.001561834445548772,10.776657674286525,2.9390884566235975,11.0,3.0,10.0
No,"(-0.073, 7.2]",No,No,No,Mailed check,Male,No,No,No,Yes,No,Month-to-month,DSL,No,No,No,"(38.35, 48.4]",11,5,0.45454545454545453,0.001561834445548772,10.776657674286525,4.8984807610393295,11.0,5.0,10.0
No,"(-0.073, 7.2]",No internet service,No internet service,No,Credit card (automatic),Female,No,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",10,1,0.1,0.0014198494959534289,9.796961522078659,0.979696152207866,10.0,1.0,9.0
Yes,"(-0.073, 7.2]",Yes,No,No,Electronic check,Male,No,No,No,Yes,No,Month-to-month,Fiber optic,No,No,No,"(78.55, 88.6]",10,8,0.8,0.0014198494959534289,9.796961522078659,7.837569217662928,10.0,8.0,9.0
Yes,"(-0.073, 7.2]",Yes,No,No,Electronic check,Female,No,No,No,Yes,No,Month-to-month,Fiber optic,No,No,No,"(78.55, 88.6]",10,9,0.9,0.0014198494959534289,9.796961522078659,8.817265369870793,10.0,9.0,9.0
Yes,"(-0.073, 7.2]",No,No,No,Electronic check,Male,No,No,No,Yes,No,Month-to-month,DSL,No,No,No,"(38.35, 48.4]",9,6,0.6666666666666666,0.001277864546358086,8.817265369870794,5.878176913247196,9.0,6.0,8.0
No,"(7.2, 14.4]",No internet service,No internet service,No,Mailed check,Female,No,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",9,0,0.0,0.001277864546358086,8.817265369870794,0.0,9.0,0.0,8.0
No,"(-0.073, 7.2]",No,No,No,Mailed check,Female,No,No,No,Yes,No,Month-to-month,DSL,No,No,No,"(38.35, 48.4]",9,4,0.4444444444444444,0.001277864546358086,8.817265369870794,3.918784608831464,9.0,4.0,8.0
Yes,"(-0.073, 7.2]",No,No,No,Mailed check,Female,No,No,No,Yes,No,Month-to-month,DSL,No,No,No,"(38.35, 48.4]",9,5,0.5555555555555556,0.001277864546358086,8.817265369870794,4.89848076103933,9.0,5.0,8.0
No,"(-0.073, 7.2]",No internet service,No internet service,No,Mailed check,Male,No,No,No internet service,Yes,No internet service,One year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",8,0,0.0,0.0011358795967627432,7.837569217662928,0.0,8.0,0.0,7.0
Yes,"(64.8, 72.0]",No internet service,No internet service,No,Credit card (automatic),Female,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,Yes,No internet service,"(18.148999999999997, 28.3]",8,0,0.0,0.0011358795967627432,7.837569217662928,0.0,8.0,0.0,7.0
No,"(-0.073, 7.2]",No internet service,No internet service,Yes,Mailed check,Male,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",8,1,0.125,0.0011358795967627432,7.837569217662928,0.979696152207866,8.0,1.0,7.0
No,"(-0.073, 7.2]",No,No,No,Electronic check,Female,No,No,No,Yes,No,Month-to-month,Fiber optic,No,No,No,"(68.5, 78.55]",8,6,0.75,0.0011358795967627432,7.837569217662928,5.878176913247196,8.0,6.0,7.0
No,"(36.0, 43.2]",No internet service,No internet service,No,Mailed check,Female,No,No,No internet service,Yes,No internet service,Two year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",8,0,0.0,0.0011358795967627432,7.837569217662928,0.0,8.0,0.0,7.0
No,"(-0.073, 7.2]",No internet service,No internet service,No,Electronic check,Female,No,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",8,2,0.25,0.0011358795967627432,7.837569217662928,1.959392304415732,8.0,2.0,7.0
No,"(-0.073, 7.2]",No internet service,No internet service,Yes,Mailed check,Male,Yes,No,No internet service,Yes,No internet service,One year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",8,1,0.125,0.0011358795967627432,7.837569217662928,0.979696152207866,8.0,1.0,7.0
No,"(7.2, 14.4]",No internet service,No internet service,Yes,Mailed check,Female,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",8,0,0.0,0.0011358795967627432,7.837569217662928,0.0,8.0,0.0,7.0
Yes,"(-0.073, 7.2]",No,No,No,Electronic check,Male,No,Yes,No,Yes,No,Month-to-month,Fiber optic,No,Yes,No,"(68.5, 78.55]",8,8,1.0,0.0011358795967627432,7.837569217662928,7.837569217662928,8.0,8.0,7.0
No,"(-0.073, 7.2]",No,No,No,Electronic check,Male,No,No,No,Yes,No,Month-to-month,DSL,No,No,No,"(38.35, 48.4]",7,6,0.8571428571428571,0.0009938946471674003,6.857873065455062,5.878176913247196,7.0,6.0,6.0
Yes,"(-0.073, 7.2]",No internet service,No internet service,Yes,Mailed check,Male,No,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",7,1,0.14285714285714285,0.0009938946471674003,6.857873065455062,0.979696152207866,7.0,1.0,6.0
No,"(64.8, 72.0]",No internet service,No internet service,Yes,Credit card (automatic),Male,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,Yes,No internet service,"(18.148999999999997, 28.3]",7,0,0.0,0.0009938946471674003,6.857873065455062,0.0,7.0,0.0,6.0
Yes,"(-0.073, 7.2]",No,No,No,Mailed check,Female,No,No,No,Yes,No,Month-to-month,Fiber optic,No,No,No,"(68.5, 78.55]",7,5,0.7142857142857143,0.0009938946471674003,6.857873065455062,4.89848076103933,7.0,5.0,6.0
No,"(64.8, 72.0]",No internet service,No internet service,Yes,Bank transfer (automatic),Female,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,Yes,No internet service,"(18.148999999999997, 28.3]",7,0,0.0,0.0009938946471674003,6.857873065455062,0.0,7.0,0.0,6.0
No,"(14.4, 21.6]",No internet service,No internet service,Yes,Mailed check,Female,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",7,0,0.0,0.0009938946471674003,6.857873065455062,0.0,7.0,0.0,6.0
No,"(50.4, 57.6]",No internet service,No internet service,Yes,Mailed check,Female,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",7,0,0.0,0.0009938946471674003,6.857873065455062,0.0,7.0,0.0,6.0
No,"(-0.073, 7.2]",No internet service,No internet service,No,Bank transfer (automatic),Male,No,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",7,1,0.14285714285714285,0.0009938946471674003,6.857873065455062,0.979696152207866,7.0,1.0,6.0
No,"(7.2, 14.4]",No internet service,No internet service,No,Mailed check,Male,No,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",7,1,0.14285714285714285,0.0009938946471674003,6.857873065455062,0.979696152207866,7.0,1.0,6.0
Yes,"(64.8, 72.0]",Yes,Yes,Yes,Bank transfer (automatic),Female,Yes,No,Yes,Yes,Yes,Two year,Fiber optic,Yes,Yes,Yes,"(108.7, 118.75]",7,1,0.14285714285714285,0.0009938946471674003,6.857873065455062,0.979696152207866,7.0,1.0,6.0
No,"(64.8, 72.0]",No internet service,No internet service,Yes,Bank transfer (automatic),Male,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",6,0,0.0,0.0008519096975720574,5.878176913247196,0.0,6.0,0.0,5.0
No,"(64.8, 72.0]",No internet service,No internet service,No,Credit card (automatic),Female,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,Yes,No internet service,"(18.148999999999997, 28.3]",6,0,0.0,0.0008519096975720574,5.878176913247196,0.0,6.0,0.0,5.0
Yes,"(-0.073, 7.2]",No,No,No,Electronic check,Male,No,No,No,Yes,No,Month-to-month,Fiber optic,No,No,Yes,"(78.55, 88.6]",6,5,0.8333333333333334,0.0008519096975720574,5.878176913247196,4.89848076103933,6.0,5.0,5.0
No,"(64.8, 72.0]",No internet service,No internet service,No,Credit card (automatic),Male,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,Yes,No internet service,"(18.148999999999997, 28.3]",6,0,0.0,0.0008519096975720574,5.878176913247196,0.0,6.0,0.0,5.0
No,"(57.6, 64.8]",No internet service,No internet service,Yes,Credit card (automatic),Female,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",6,0,0.0,0.0008519096975720574,5.878176913247196,0.0,6.0,0.0,5.0
No,"(14.4, 21.6]",No internet service,No internet service,No,Mailed check,Female,No,No,No internet service,Yes,No internet service,One year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",6,0,0.0,0.0008519096975720574,5.878176913247196,0.0,6.0,0.0,5.0
Yes,"(-0.073, 7.2]",No internet service,No internet service,No,Electronic check,Male,No,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",6,1,0.16666666666666666,0.0008519096975720574,5.878176913247196,0.979696152207866,6.0,1.0,5.0
No,"(-0.073, 7.2]",No,No,No,Electronic check,Female,No,No,No,Yes,No,Month-to-month,Fiber optic,No,Yes,No,"(68.5, 78.55]",6,4,0.6666666666666666,0.0008519096975720574,5.878176913247196,3.918784608831464,6.0,4.0,5.0
No,"(64.8, 72.0]",No internet service,No internet service,No,Bank transfer (automatic),Male,No,No,No internet service,Yes,No internet service,Two year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",6,0,0.0,0.0008519096975720574,5.878176913247196,0.0,6.0,0.0,5.0
No,"(64.8, 72.0]",No internet service,No internet service,Yes,Bank transfer (automatic),Male,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,Yes,No internet service,"(18.148999999999997, 28.3]",6,0,0.0,0.0008519096975720574,5.878176913247196,0.0,6.0,0.0,5.0
Yes,"(64.8, 72.0]",Yes,Yes,Yes,Credit card (automatic),Male,Yes,No,Yes,Yes,Yes,Two year,DSL,Yes,Yes,Yes,"(88.6, 98.65]",6,0,0.0,0.0008519096975720574,5.878176913247196,0.0,6.0,0.0,5.0
Yes,"(7.2, 14.4]",No internet service,No internet service,No,Mailed check,Female,No,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",6,0,0.0,0.0008519096975720574,5.878176913247196,0.0,6.0,0.0,5.0
Yes,"(-0.073, 7.2]",No,No,No,Electronic check,Female,No,No,No,Yes,No,Month-to-month,Fiber optic,No,No,Yes,"(78.55, 88.6]",6,6,1.0,0.0008519096975720574,5.878176913247196,5.878176913247196,6.0,6.0,5.0
No,"(-0.073, 7.2]",No,No,No,Electronic check,Female,No,No,No,Yes,No,Month-to-month,DSL,No,No,No,"(38.35, 48.4]",6,2,0.3333333333333333,0.0008519096975720574,5.878176913247196,1.959392304415732,6.0,2.0,5.0
Yes,"(-0.073, 7.2]",Yes,No,No,Electronic check,Male,No,No,No,Yes,No,Month-to-month,Fiber optic,No,No,Yes,"(88.6, 98.65]",6,4,0.6666666666666666,0.0008519096975720574,5.878176913247196,3.918784608831464,6.0,4.0,5.0
