OnlineSecurity,tenure_bins,Partner,TechSupport,monthly_charges_bins,OnlineBackup,PhoneService,StreamingTV,gender,MultipleLines,InternetService,SeniorCitizen,DeviceProtection,PaymentMethod,PaperlessBilling,Dependents,Contract,StreamingMovies,original_customer_count,original_churn_sum,original_customer_ratio,original_churn_ratio,new_customer_count_float,new_customer_count_int,new_customer_optimized,new_churn_customers
No internet service,"(-0.073, 7.2]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Mailed check,No,No,Month-to-month,No internet service,64,17,0.009087036774101945,0.026562500000000003,63.354820389038764,63.0,62,2
No internet service,"(-0.073, 7.2]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Mailed check,No,No,Month-to-month,No internet service,51,13,0.007241232429362488,0.025490196078431372,50.48587249751527,50.0,49,1
No internet service,"(-0.073, 7.2]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Mailed check,Yes,No,Month-to-month,No internet service,24,8,0.0034076387902882295,0.03333333333333333,23.758057645889537,24.0,23,1
No,"(-0.073, 7.2]",No,No,"(68.5, 78.55]",No,Yes,No,Male,No,Fiber optic,No,No,Electronic check,Yes,No,Month-to-month,No,21,15,0.0029816839415022006,0.07142857142857144,20.788300440153343,21.0,20,1
No internet service,"(-0.073, 7.2]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Mailed check,Yes,No,Month-to-month,No internet service,20,8,0.0028396989919068577,0.04000000000000001,19.798381371574614,20.0,19,1
No,"(-0.073, 7.2]",No,No,"(68.5, 78.55]",No,Yes,No,Female,No,Fiber optic,No,No,Electronic check,Yes,No,Month-to-month,No,19,13,0.002697714042311515,0.06842105263157895,18.80846230299588,19.0,18,1
No,"(-0.073, 7.2]",No,No,"(68.5, 78.55]",No,Yes,No,Female,No,Fiber optic,Yes,No,Electronic check,Yes,No,Month-to-month,No,16,14,0.0022717591935254864,0.08750000000000001,15.838705097259691,16.0,15,1
No internet service,"(-0.073, 7.2]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Mailed check,No,Yes,Month-to-month,No internet service,14,2,0.0019877892943348007,0.014285714285714285,13.85886696010223,14.0,13,0
No,"(-0.073, 7.2]",No,No,"(68.5, 78.55]",No,Yes,No,Female,Yes,Fiber optic,No,No,Electronic check,Yes,No,Month-to-month,No,13,10,0.0018458043447394576,0.07692307692307693,12.868947891523499,13.0,12,1
No internet service,"(-0.073, 7.2]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Mailed check,No,Yes,Month-to-month,No internet service,11,3,0.001561834445548772,0.02727272727272727,10.889109754366038,11.0,10,0
No internet service,"(64.8, 72.0]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Bank transfer (automatic),No,Yes,Two year,No internet service,11,0,0.001561834445548772,0.0,10.889109754366038,11.0,10,0
No,"(-0.073, 7.2]",No,No,"(38.35, 48.4]",No,Yes,No,Male,No,DSL,No,No,Mailed check,Yes,No,Month-to-month,No,11,6,0.001561834445548772,0.05454545454545454,10.889109754366038,11.0,10,1
No,"(-0.073, 7.2]",No,No,"(38.35, 48.4]",No,Yes,No,Male,No,DSL,No,No,Mailed check,No,No,Month-to-month,No,11,5,0.001561834445548772,0.045454545454545456,10.889109754366038,11.0,10,0
No,"(-0.073, 7.2]",No,No,"(68.5, 78.55]",No,Yes,No,Male,Yes,Fiber optic,No,No,Electronic check,Yes,No,Month-to-month,No,11,10,0.001561834445548772,0.09090909090909091,10.889109754366038,11.0,10,1
No,"(-0.073, 7.2]",No,No,"(78.55, 88.6]",No,Yes,Yes,Male,No,Fiber optic,No,No,Electronic check,Yes,No,Month-to-month,No,10,8,0.0014198494959534289,0.08000000000000002,9.899190685787307,10.0,9,1
No,"(-0.073, 7.2]",No,No,"(78.55, 88.6]",No,Yes,Yes,Female,No,Fiber optic,No,No,Electronic check,Yes,No,Month-to-month,No,10,9,0.0014198494959534289,0.09000000000000001,9.899190685787307,10.0,9,1
No internet service,"(-0.073, 7.2]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Credit card (automatic),No,No,Month-to-month,No internet service,10,1,0.0014198494959534289,0.010000000000000002,9.899190685787307,10.0,9,0
No,"(-0.073, 7.2]",No,No,"(38.35, 48.4]",No,Yes,No,Male,No,DSL,No,No,Electronic check,Yes,No,Month-to-month,No,9,6,0.001277864546358086,0.06666666666666667,8.909271617208576,9.0,8,1
No,"(-0.073, 7.2]",No,No,"(38.35, 48.4]",No,Yes,No,Female,No,DSL,No,No,Mailed check,Yes,No,Month-to-month,No,9,5,0.001277864546358086,0.05555555555555556,8.909271617208576,9.0,8,0
No,"(-0.073, 7.2]",No,No,"(38.35, 48.4]",No,Yes,No,Female,No,DSL,No,No,Mailed check,No,No,Month-to-month,No,9,4,0.001277864546358086,0.044444444444444446,8.909271617208576,9.0,8,0
No internet service,"(7.2, 14.4]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Mailed check,No,No,Month-to-month,No internet service,9,0,0.001277864546358086,0.0,8.909271617208576,9.0,8,0
No internet service,"(-0.073, 7.2]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Mailed check,No,No,One year,No internet service,8,0,0.0011358795967627432,0.0,7.9193525486298455,8.0,7,0
No,"(-0.073, 7.2]",No,No,"(68.5, 78.55]",No,Yes,No,Female,No,Fiber optic,No,No,Electronic check,No,No,Month-to-month,No,8,6,0.0011358795967627432,0.07500000000000001,7.9193525486298455,8.0,7,1
No internet service,"(-0.073, 7.2]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Electronic check,No,No,Month-to-month,No internet service,8,2,0.0011358795967627432,0.025,7.9193525486298455,8.0,7,0
No internet service,"(-0.073, 7.2]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Mailed check,No,Yes,One year,No internet service,8,1,0.0011358795967627432,0.0125,7.9193525486298455,8.0,7,0
No internet service,"(7.2, 14.4]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Mailed check,No,Yes,Two year,No internet service,8,0,0.0011358795967627432,0.0,7.9193525486298455,8.0,7,0
No,"(-0.073, 7.2]",No,No,"(68.5, 78.55]",No,Yes,No,Male,Yes,Fiber optic,Yes,No,Electronic check,Yes,No,Month-to-month,No,8,8,0.0011358795967627432,0.1,7.9193525486298455,8.0,7,1
No internet service,"(64.8, 72.0]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,Yes,No,No,No internet service,Credit card (automatic),Yes,No,Two year,No internet service,8,0,0.0011358795967627432,0.0,7.9193525486298455,8.0,7,0
No internet service,"(-0.073, 7.2]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Mailed check,No,Yes,Month-to-month,No internet service,8,1,0.0011358795967627432,0.0125,7.9193525486298455,8.0,7,0
No internet service,"(36.0, 43.2]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Mailed check,No,No,Two year,No internet service,8,0,0.0011358795967627432,0.0,7.9193525486298455,8.0,7,0
No,"(-0.073, 7.2]",No,No,"(38.35, 48.4]",No,Yes,No,Male,No,DSL,No,No,Electronic check,No,No,Month-to-month,No,7,6,0.0009938946471674003,0.08571428571428572,6.929433480051115,7.0,6,1
Yes,"(64.8, 72.0]",Yes,Yes,"(108.7, 118.75]",Yes,Yes,Yes,Female,Yes,Fiber optic,No,Yes,Bank transfer (automatic),Yes,Yes,Two year,Yes,7,1,0.0009938946471674003,0.014285714285714285,6.929433480051115,7.0,6,0
No internet service,"(14.4, 21.6]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Mailed check,No,Yes,Month-to-month,No internet service,7,0,0.0009938946471674003,0.0,6.929433480051115,7.0,6,0
No internet service,"(64.8, 72.0]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,Yes,No,No,No internet service,Bank transfer (automatic),No,Yes,Two year,No internet service,7,0,0.0009938946471674003,0.0,6.929433480051115,7.0,6,0
No internet service,"(50.4, 57.6]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Mailed check,No,Yes,Two year,No internet service,7,0,0.0009938946471674003,0.0,6.929433480051115,7.0,6,0
No internet service,"(-0.073, 7.2]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Mailed check,Yes,Yes,Month-to-month,No internet service,7,1,0.0009938946471674003,0.014285714285714285,6.929433480051115,7.0,6,0
No internet service,"(7.2, 14.4]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Mailed check,No,No,Month-to-month,No internet service,7,1,0.0009938946471674003,0.014285714285714285,6.929433480051115,7.0,6,0
No internet service,"(64.8, 72.0]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,Yes,No,No,No internet service,Credit card (automatic),No,Yes,Two year,No internet service,7,0,0.0009938946471674003,0.0,6.929433480051115,7.0,6,0
No internet service,"(-0.073, 7.2]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Bank transfer (automatic),No,No,Month-to-month,No internet service,7,1,0.0009938946471674003,0.014285714285714285,6.929433480051115,7.0,6,0
No,"(-0.073, 7.2]",No,No,"(68.5, 78.55]",No,Yes,No,Female,No,Fiber optic,No,No,Mailed check,Yes,No,Month-to-month,No,7,5,0.0009938946471674003,0.07142857142857144,6.929433480051115,7.0,6,0
No internet service,"(14.4, 21.6]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Mailed check,No,No,Month-to-month,No internet service,6,0,0.0008519096975720574,0.0,5.939514411472384,6.0,5,0
No internet service,"(64.8, 72.0]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,Yes,No,No,No internet service,Credit card (automatic),No,No,Two year,No internet service,6,0,0.0008519096975720574,0.0,5.939514411472384,6.0,5,0
No,"(-0.073, 7.2]",No,No,"(38.35, 48.4]",No,Yes,No,Female,No,DSL,No,No,Electronic check,No,No,Month-to-month,No,6,2,0.0008519096975720574,0.03333333333333333,5.939514411472384,6.0,5,0
No internet service,"(64.8, 72.0]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Bank transfer (automatic),No,Yes,Two year,No internet service,6,0,0.0008519096975720574,0.0,5.939514411472384,6.0,5,0
No,"(-0.073, 7.2]",No,No,"(78.55, 88.6]",No,Yes,No,Female,No,Fiber optic,No,No,Electronic check,Yes,No,Month-to-month,Yes,6,6,0.0008519096975720574,0.1,5.939514411472384,6.0,5,1
Yes,"(64.8, 72.0]",Yes,Yes,"(88.6, 98.65]",Yes,Yes,Yes,Male,Yes,DSL,No,Yes,Credit card (automatic),Yes,Yes,Two year,Yes,6,0,0.0008519096975720574,0.0,5.939514411472384,6.0,5,0
No,"(7.2, 14.4]",No,No,"(68.5, 78.55]",No,Yes,No,Female,Yes,Fiber optic,No,No,Electronic check,Yes,No,Month-to-month,No,6,3,0.0008519096975720574,0.05,5.939514411472384,6.0,5,0
No internet service,"(64.8, 72.0]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Bank transfer (automatic),No,No,Two year,No internet service,6,0,0.0008519096975720574,0.0,5.939514411472384,6.0,5,0
No internet service,"(28.8, 36.0]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Mailed check,No,No,One year,No internet service,6,0,0.0008519096975720574,0.0,5.939514411472384,6.0,5,0
No,"(-0.073, 7.2]",No,No,"(88.6, 98.65]",No,Yes,Yes,Male,No,Fiber optic,No,No,Electronic check,Yes,No,Month-to-month,Yes,6,4,0.0008519096975720574,0.06666666666666667,5.939514411472384,6.0,5,0
No,"(-0.073, 7.2]",No,No,"(78.55, 88.6]",No,Yes,No,Male,No,Fiber optic,No,No,Electronic check,Yes,No,Month-to-month,Yes,6,5,0.0008519096975720574,0.08333333333333334,5.939514411472384,6.0,5,0
