,Churn,0
0,False,False
1,False,False
2,False,False
3,False,False
4,False,False
5,False,False
6,False,False
7,False,False
8,False,False
9,False,False
10,False,False
11,False,False
12,False,False
13,False,False
14,False,False
15,True,False
16,False,False
17,False,False
18,False,False
19,False,False
20,False,False
21,False,False
22,False,False
23,False,False
24,False,False
25,False,False
26,False,False
27,True,True
28,True,False
29,True,True
30,False,False
31,False,True
32,True,True
33,False,False
34,False,False
35,False,False
36,False,False
37,True,True
38,False,False
39,False,False
40,False,False
41,False,False
42,False,True
43,False,False
44,False,False
45,False,False
46,False,False
47,True,True
48,False,False
49,False,False
50,False,False
51,True,False
52,False,False
53,False,False
54,False,False
55,False,False
56,True,False
57,False,False
58,False,False
59,False,False
60,True,False
61,False,False
62,False,False
63,False,False
64,False,False
65,False,True
66,True,False
67,False,False
68,False,False
69,True,False
70,False,False
71,True,False
72,False,False
73,False,False
74,False,False
75,False,False
76,False,False
77,False,False
78,True,True
79,False,False
80,False,False
81,True,False
82,True,True
83,True,True
84,False,False
85,True,False
86,False,False
87,False,False
88,True,False
89,True,False
90,True,True
91,False,True
92,False,False
93,False,False
94,False,False
95,False,True
96,False,False
97,True,True
98,True,True
99,False,False
100,True,True
101,False,True
102,False,False
103,True,False
104,False,False
105,False,False
106,False,False
107,True,False
108,False,False
109,False,False
110,False,False
111,False,False
112,False,False
113,False,False
114,False,False
115,False,False
116,True,False
117,False,False
118,False,False
119,False,False
120,False,False
121,False,False
122,False,False
123,True,True
124,False,False
125,False,False
126,True,False
127,False,False
128,False,False
129,False,False
130,True,False
131,False,False
132,True,False
133,False,False
134,False,False
135,True,False
136,False,False
137,False,False
138,False,False
139,False,False
140,False,False
141,True,True
142,False,False
143,False,False
144,False,False
145,False,False
146,False,False
147,False,True
148,False,False
149,False,True
150,False,True
151,True,True
152,False,False
153,False,False
154,False,False
155,False,False
156,False,True
157,False,False
158,True,True
159,False,False
160,False,False
161,False,False
162,True,False
163,False,False
164,True,True
165,False,False
166,False,False
167,False,False
168,False,False
169,False,False
170,False,False
171,False,False
172,True,False
173,False,False
174,False,False
175,False,False
176,False,False
177,False,False
178,False,True
179,False,False
180,False,True
181,False,False
182,False,False
183,True,True
184,True,True
185,False,True
186,False,False
187,True,False
188,False,False
189,False,False
190,False,False
191,False,False
192,False,False
193,True,False
194,False,False
195,False,False
196,False,False
197,True,True
198,False,False
199,False,False
200,False,False
201,False,False
202,False,False
203,True,False
204,True,True
205,False,False
206,True,False
207,True,False
208,False,False
209,False,False
210,False,False
211,False,True
212,False,False
213,False,False
214,True,False
215,False,False
216,True,False
217,False,True
218,True,True
219,False,False
220,True,True
221,True,False
222,False,False
223,True,True
224,True,False
225,False,False
226,False,False
227,False,True
228,False,False
229,False,True
230,False,False
231,True,True
232,False,False
233,True,True
234,False,False
235,False,True
236,False,True
237,False,False
238,False,False
239,False,True
240,False,False
241,False,False
242,False,False
243,False,False
244,False,False
245,False,False
246,False,False
247,False,True
248,False,False
249,False,False
250,False,False
251,False,True
252,False,False
253,False,False
254,False,False
255,False,False
256,True,False
257,False,False
258,True,False
259,False,False
260,False,False
261,False,False
262,True,False
263,False,False
264,True,True
265,False,False
266,False,True
267,True,True
268,False,False
269,False,False
270,False,False
271,False,False
272,True,True
273,True,False
274,True,False
275,True,True
276,False,False
277,False,False
278,False,False
279,False,True
280,True,True
281,True,False
282,True,False
283,False,False
284,False,False
285,False,False
286,True,True
287,True,True
288,False,False
289,False,False
290,True,False
291,True,True
292,True,True
293,False,False
294,False,False
295,False,False
296,False,False
297,True,False
298,True,False
299,False,False
300,False,False
301,True,False
302,False,False
303,False,False
304,False,False
305,False,False
306,False,False
307,False,False
308,True,True
309,True,True
310,True,True
311,False,False
312,False,False
313,False,False
314,True,True
315,False,False
316,False,False
317,False,False
318,False,False
319,False,False
320,False,True
321,False,False
322,True,True
323,False,False
324,False,False
325,True,False
326,False,False
327,False,False
328,False,False
329,False,False
330,False,False
331,False,False
332,False,False
333,True,True
334,True,False
335,False,False
336,False,False
337,False,False
338,False,False
339,True,False
340,False,False
341,True,True
342,False,True
343,False,False
344,False,False
345,False,False
346,True,True
347,False,False
348,False,False
349,False,False
350,False,False
351,True,False
352,False,False
353,False,False
354,False,False
355,False,False
356,False,False
357,False,False
358,True,False
359,False,False
360,False,False
361,False,False
362,False,False
363,False,False
364,False,False
365,True,True
366,False,False
367,True,True
368,False,False
369,False,False
370,False,False
371,True,False
372,False,False
373,False,False
374,False,False
375,True,False
376,True,False
377,False,False
378,True,False
379,False,False
380,False,False
381,True,True
382,True,True
383,True,True
384,False,True
385,False,False
386,False,False
387,False,False
388,False,False
389,True,False
390,False,False
391,False,True
392,True,True
393,False,False
394,False,False
395,False,False
396,False,False
397,False,False
398,False,False
399,False,False
400,False,False
401,False,False
402,False,False
403,False,False
404,False,False
405,False,False
406,False,False
407,False,False
408,False,False
409,True,True
410,True,True
411,False,False
412,False,False
413,False,False
414,False,False
415,True,False
416,False,False
417,False,False
418,False,False
419,True,True
420,False,False
421,False,False
422,False,False
423,True,False
424,False,False
425,False,False
426,True,False
427,True,False
428,False,False
429,False,False
430,False,False
431,False,False
432,False,False
433,False,False
434,True,False
435,True,True
436,False,False
